alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,47,81
0,0,0,0,0,0,0,0,0,0
127094,176723,22700,67554,587878,42775,22008,327720,0,0
1630,2175,2536,10120,10698,671,539,5710,0,0
464,1104,1155,6926,8694,1081,1327,9719,0,0
4401,2437,5108,9109,39361,452,964,82312,0,0
2743,3383,3630,4928,18206,2054,1540,7434,37,30
1769,1744,2027,12576,7803,436,469,737,50,38
3559,1679,2796,3479,12266,237,829,12194,67,40
981,6312,1960,3954,4867,289,682,3908,77,43
540,1218,3142,5653,5739,710,840,3201,90,64
2734,2686,2497,3267,2961,332,303,2554,97,56
1934,2725,1063,7015,2187,993,909,4822,94,66
494,559,1033,5361,5218,568,861,3629,91,69
1515,92,2425,9874,2975,711,1420,1852,93,51
1069,791,2079,10588,3777,1003,698,2958,93,50
2955,2048,2215,2820,6274,812,834,10137,97,34
995,2303,3463,5152,9733,560,1059,4275,100,30
7147,10189,7328,9205,137114,935,1100,111046,100,40
730,2867,4642,4778,2154,1316,1357,5705,81,41
2240,3546,1212,5395,20746,480,683,15006,83,48
2482,2222,1464,10248,7076,492,609,6159,70,47
5651,5720,1547,7405,6060,705,1221,5255,60,47
2710,5658,1662,9846,78302,1413,1019,16092,63,63
2191,1429,2469,9699,29673,1301,2417,13939,41,66
10481,3990,2976,4437,107105,1037,1945,40802,51,61
1841,169,2738,12828,2028,415,2128,2577,41,63
9470,9846,10789,46115,392821,3013,3620,30202,61,44
959,1680,3872,4503,6447,506,1254,4225,75,41
1064,1119,1336,8428,3808,1125,1882,6453,90,44
2091,1979,2041,7119,3636,332,1972,5102,100,37
1924,6959,554,4504,26928,265,1062,4570,91,44
961,4001,1482,3985,6377,365,1299,3722,74,57
1259,160,1963,7205,3910,888,699,10736,57,66
1973,1346,3095,11041,5447,927,1315,5924,60,61
1833,1072,5758,10441,6387,471,1540,8097,64,56
1799,2514,1853,9278,5814,476,612,2580,93,38
1345,805,2584,7168,3561,607,826,4213,97,34
1449,2392,2758,10725,9674,479,547,8270,100,40
2849,2514,1635,12243,2032,677,1511,1935,100,41
918,926,3166,8154,4151,501,2234,4597,93,50
1215,2899,2403,5753,13637,311,972,4724,100,40
2190,1555,1328,9215,49388,749,783,29387,96,48
4377,4171,2653,7534,8610,874,1200,9362,77,41
4516,3657,7629,2866,13366,713,1269,12734,74,44
2054,1248,2429,4372,2472,1048,2399,1796,67,54
2379,776,877,7346,1330,317,1829,2031,75,54
1811,3676,2143,13490,5367,584,861,3492,91,64
928,5237,2581,6383,2526,441,561,2561,96,60
2411,6266,4396,12051,5638,222,698,8435,94,64
1430,989,5575,9605,8969,2156,3610,6855,88,64
4682,6872,2141,10314,59144,3182,2053,21106,100,54
5491,4802,6260,2024,157530,3378,2316,8516,87,56
3853,16991,2901,3839,45739,1129,2743,29095,87,57
1577,581,11781,6650,10163,2059,1358,14404,70,63
5900,713,2138,6147,4441,1000,3863,14967,74,57
160,480,3951,2697,13973,1088,1497,2380,78,56
666,3863,3813,9638,3761,506,2640,8024,87,37
1881,6651,2726,4582,28566,662,2698,4357,97,26
1250,375,1577,4866,1732,882,1107,10360,81,50
2260,1012,4947,9668,4722,1849,1700,13478,81,40
3529,3090,4955,9084,3108,973,1843,6606,66,43
2401,883,2352,7205,13626,1144,1473,4244,67,47
2061,6343,1964,4137,9881,1887,1750,4453,74,35
2010,1730,1432,5835,5413,771,641,3909,75,56
2763,2785,3329,17712,4800,1109,1931,20270,70,66
4921,6697,2289,14177,67562,1747,1416,38370,61,57
390,5423,2621,12375,6805,1097,1169,4573,43,57
2381,1957,2954,10606,15682,479,1189,2234,47,48
25313,41430,9011,34675,166109,3597,4556,50845,54,47
1362,6087,8072,6546,81908,879,2125,63682,50,63
5627,6810,1762,4461,146978,889,1274,14374,57,54
5741,3618,6668,5813,40538,602,1805,11211,44,61
2506,1887,3065,10060,33902,842,3371,7599,41,66
6431,1922,11735,39810,788035,3502,9855,25730,53,54
9801,3772,12834,22007,673534,4876,4819,45274,63,56
12211,35610,12531,35343,477644,4011,9025,91213,75,44
598,1293,1397,6823,2335,560,1711,3877,61,41
1310,7490,5953,85168,322011,3448,5537,28744,61,40
1532,465,3202,4427,7511,867,435,5231,53,37
1229,556,3756,15437,5153,743,797,1931,60,35
2611,1689,5693,5028,15231,687,1676,5924,83,21
5425,6545,4198,3852,68365,975,1424,33058,91,26
3417,2595,6667,5650,12207,999,2881,10602,88,38
3889,929,2853,5531,10063,1246,1103,11498,88,41
1299,1412,2670,9150,10028,1347,835,5316,70,51
5706,1449,2066,14064,12251,2360,4244,4499,66,47
28972,14162,12681,50441,833290,4545,15648,45178,70,48
6919,4651,4190,21363,388,2714,5290,9678,63,53
4107,5405,1754,10230,9187,2169,3759,8091,64,54
3920,1640,2333,10431,1935,952,3294,6551,53,66
6765,5627,2622,11137,27785,1449,2320,11800,53,64
13610,5585,12827,20604,627279,5561,2860,45642,51,67
7379,661,2170,6198,16593,901,1615,14214,51,64
2623,5071,2154,17884,18976,795,1330,3279,51,61
5645,1114,1872,3069,29947,1306,1492,17120,51,64
4226,980,6417,9164,5177,1126,2065,5573,48,60
2224,1511,3888,6012,3458,228,649,6547,57,60
3147,6298,2597,5656,10529,416,965,6354,70,54
3894,3109,2309,5130,38598,866,4484,7259,67,61
1061,3651,1451,8404,5287,1605,832,11160,75,64
14415,28065,14194,7138,17429,1294,1576,53384,57,64
53510,26127,10938,30077,1226494,5505,7104,81150,48,74
14676,7489,14115,45441,677245,4175,4489,75205,41,74
4127,2728,3477,4158,38663,1164,868,22671,40,63
5229,2520,2113,7155,12536,1211,1449,8378,41,63
1289,1492,3168,5640,49419,436,930,13694,41,61
1976,3962,4076,6216,10177,812,726,13000,50,44
1145,3983,1588,3834,15158,453,2922,12880,53,50
25262,6106,26540,69002,321030,3592,9748,205645,51,51
22114,21614,4866,13952,93021,1666,1831,70319,48,38
5168,8883,2831,13193,14935,1006,904,31133,37,51
9682,6325,8267,21550,265814,1701,5934,87766,24,53
4006,3527,4977,6209,61984,536,2311,7709,24,47
590,1690,2538,7061,24595,1033,1168,10990,35,57
1344,2257,2019,10159,4083,1513,866,2148,48,43
6116,4491,2850,9174,9741,566,1234,3182,64,43
7017,5799,5948,7643,25122,1449,1575,17771,74,57
1152,414,2222,11260,3319,405,2405,1799,67,57
2845,12317,2372,4862,396638,2717,3030,118476,78,57
2697,7499,1891,19159,84768,855,2388,17985,50,50
1583,1723,2584,7498,8963,726,964,10817,40,40
3360,958,2870,2571,8097,383,1349,35282,40,30
1236,1489,2729,7599,7284,457,839,2381,20,30
23042,18183,28295,25721,606884,2505,1955,46026,51,38
2165,5113,1623,4531,10133,822,2538,13043,66,43
1660,6349,2005,11259,2325,579,1061,3215,57,51
560,1008,1706,7062,13005,937,1530,2491,67,64
5916,1294,1497,13944,13472,1310,1297,13318,64,61
3126,3977,3836,7046,8230,948,1482,4620,51,56
3080,9600,1729,10663,6754,1747,1231,10205,63,56
924,2205,3029,6416,2153,705,1001,5922,54,57
230,1028,2982,10883,4319,595,786,5262,53,61
1447,1731,1665,5799,3866,730,1008,4511,69,48
3830,5408,4245,10249,13695,953,1157,11016,66,44
