alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
2957,2063,2749,8399,6651,639,2171,15184,47,41
4569,8848,3851,11878,33622,1463,818,12883,43,37
1796,1405,1234,1403,112876,171,205,6918,35,37
2163,1859,2632,14328,11541,627,1500,3930,41,35
3729,7898,4169,10735,27215,650,1108,13017,43,40
1654,1488,5856,6609,2257,523,623,3928,47,51
2807,7101,1565,10376,9269,926,1257,5935,63,37
4870,993,2458,4826,118863,967,2773,15909,60,43
2501,7351,2658,8599,8758,1065,1096,6453,50,47
9788,7923,3100,11697,21512,378,531,9124,50,51
1089,5701,2916,8101,292754,443,923,37252,29,70
2565,3409,6198,8157,12350,893,1239,18426,26,53
22269,59933,31414,23925,273724,3041,4234,26187,35,47
2135,4045,3557,9906,17785,1497,2010,10813,41,56
5133,1108,2334,9710,110146,760,974,28058,47,43
627,762,2541,2851,6700,1385,894,6043,47,43
1329,4271,1922,11451,4737,344,754,3506,48,38
2000,8056,2989,13816,9985,707,1319,32313,44,20
3008,7724,2391,14339,14446,499,1087,32254,35,16
858,1318,1870,4166,77612,146,297,21336,34,21
3652,5707,1655,7030,3744,536,1183,8812,20,16
1990,5241,2450,14601,1806,792,1067,10088,10,24
6615,1914,3198,6264,13085,696,1164,13681,16,27
1670,3612,2774,13511,8001,817,1306,4343,26,37
3819,2904,3561,11345,6484,410,1140,6983,38,51
2470,6792,1555,9852,39356,915,1211,10217,48,44
5037,2663,3762,5890,19202,1752,744,14075,43,51
1122,12986,2117,11022,7140,333,874,8467,44,51
8806,5166,3099,12847,18086,410,1221,28556,35,64
16414,13728,17840,25026,64436,4319,6045,125458,23,64
23880,61811,13664,74936,852512,4443,8150,125848,26,51
3187,912,4509,11219,178920,768,1237,22871,16,51
2453,518,3450,6655,3789,916,746,3810,21,27
2198,2855,1741,3208,26766,457,941,2237,40,21
3766,1624,2343,5626,8042,987,741,5246,48,40
7073,7069,4390,5191,134410,569,1305,26982,60,41
1567,1745,2934,4231,12127,1754,1400,4057,54,57
13038,10536,9129,33141,382756,5482,4420,20418,53,63
5099,2437,4428,12804,2962,962,1691,3746,51,54
8184,39511,1383,9501,79850,552,903,40955,56,51
4624,3843,2244,5821,260351,965,1322,16761,43,64
11683,10443,11889,41983,530983,5003,5328,36291,30,66
7128,17663,8498,47338,705734,4431,4832,80313,30,60
6323,2616,1319,14195,22670,1073,1037,3369,20,51
1259,5729,1100,6551,23180,477,1303,12998,38,41
1312,3280,3777,8124,1176,804,1163,2260,34,40
15676,13077,14769,31294,518546,710,3893,44853,43,44
4385,5008,3747,7587,4492,1785,1598,24871,51,53
2650,1247,1973,4753,10566,264,998,1309,51,47
24252,13886,13978,32923,105460,2506,7916,199236,69,53
8483,16508,5189,10294,79354,393,490,68958,48,41
5930,3946,2388,11692,25234,529,1146,16747,37,40
3651,172,5612,10662,2197,154,1234,2868,35,41
1188,307,1498,16361,3753,1039,921,6566,41,27
3372,4333,3150,6375,13589,940,513,18777,51,17
4493,3011,2420,21475,56417,869,2039,20228,60,20
457,1997,2823,14912,3357,954,871,6772,57,13
2695,7570,2846,13005,5749,2122,2409,19802,50,7
3473,5656,2795,8502,24218,912,1913,25088,44,27
3649,5784,2480,5550,30837,1025,1029,26595,40,24
1261,1673,1956,12711,7667,589,950,8499,37,30
5816,500,6959,6153,74073,672,702,19944,30,34
4114,554,4374,11662,5346,678,1269,2206,41,26
1432,839,2236,12803,1173,731,1349,3851,61,27
2476,2202,1885,7960,24119,332,2345,1158,78,16
7461,4056,4248,8261,25926,776,578,27716,83,34
2948,3127,2354,9492,9594,761,841,10328,77,40
4191,3261,1685,4144,14146,1259,1223,11274,61,40
2176,10400,2889,10854,35456,765,599,19257,48,57
675,3945,2752,7961,108075,556,1127,16288,37,54
565,9778,2302,7498,3307,449,751,4981,37,48
4389,4669,1493,9989,19824,231,959,4939,38,60
3433,5450,808,2882,43827,149,949,30034,40,61
26006,12728,12175,11990,1638581,2650,3084,58808,24,57
8928,1900,4185,6820,15821,747,723,24671,24,69
3286,1600,1115,7806,27160,296,1508,22561,23,57
1643,4880,1099,7308,21506,737,812,20366,14,43
10142,8132,33044,67428,1956523,2973,4134,34143,21,40
4744,2135,3581,10145,4218,266,2034,12952,38,23
6303,7758,7782,53617,446331,1912,4441,14887,40,20
460,3374,2973,2593,11107,268,625,11619,57,23
15787,22921,9299,49892,360792,2601,3915,82870,70,23
5196,13533,970,10643,113586,939,2155,40262,51,34
3659,1834,2142,11110,3306,529,1171,6934,29,40
9918,1030,22287,52879,531905,2682,6245,312878,24,44
1955,275,2504,7034,5551,249,701,6793,16,29
2965,14399,4199,9703,4845,1838,890,19368,27,26
1461,8778,2487,4259,10823,667,1183,10493,47,34
4857,4274,4529,4122,5860,411,1736,12608,43,47
1571,1454,1510,11664,6011,544,478,5502,53,75
3054,6197,1147,6189,6522,535,546,4594,48,77
5468,3914,7690,3816,11975,937,796,28019,44,81
1231,2687,3789,10744,13837,841,1007,6956,50,74
2714,4803,2510,17223,17080,454,843,7400,54,64
5096,930,2993,3382,122271,1140,2221,15219,54,70
4504,741,2704,10893,5264,243,1372,15208,60,60
8664,5633,3317,3516,22184,567,1011,24325,56,54
5246,5445,4140,8167,8014,472,449,7973,41,63
6828,4514,3321,7163,11849,455,498,14630,44,70
7109,29283,7955,36005,307942,1946,5203,51572,44,77
2538,847,1712,14021,3117,635,1000,2839,41,84
1620,1712,2959,5053,18066,1074,1418,10588,53,77
779,4392,6612,8372,85441,450,3196,16258,51,63
2259,13624,13714,41990,229008,3916,7998,62142,60,51
1381,4431,3894,9938,64113,794,602,10260,64,40
1924,16290,5575,6195,19355,400,347,8712,64,44
3187,4137,4688,11053,15182,314,944,15585,63,61
3287,3227,6267,3825,9789,795,1736,11897,60,64
924,1381,779,2989,113167,135,287,9555,66,74
4472,3761,4949,17365,143239,890,979,7177,54,69
1674,5807,1126,8448,3045,844,3411,12365,57,57
561,1840,2061,7858,6223,313,2032,1982,47,63
14649,13214,24364,132250,845269,6054,10161,300486,50,60
773,1044,2721,22631,6899,826,1427,17888,50,48
946,1915,884,9185,4816,573,569,2071,43,27
6978,7122,2208,5560,14507,594,1459,5498,53,23
2307,2607,2781,20939,1887,463,1966,11730,40,41
3419,8107,1196,10092,123555,748,548,27963,47,50
22897,30389,10822,19589,788902,5742,6229,55159,34,70
2552,2684,1502,6477,45909,487,436,70033,27,81
1274,12381,2090,5616,294334,630,1446,31196,11,51
1864,547,4014,8007,1974,593,1555,3866,1,61
11310,4041,8101,24832,645572,3277,8151,50809,27,53
478,6012,2821,8458,14616,765,1719,4061,29,40
1459,1071,3429,18807,5283,527,2451,15261,54,60
539,1925,1718,12148,2677,571,921,5539,67,41
4325,2322,1366,4838,2875,582,1951,8176,56,38
684,798,1253,8214,2530,804,575,3451,54,48
4190,6803,8098,8423,6045,354,1349,12196,53,35
1219,1437,536,1070,47555,230,367,2319,60,53
3271,2118,3909,1367,7781,1846,930,5726,54,70
