alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,54,80
0,0,0,0,0,0,0,0,0,0
34173,61996,3687,15468,14383,9216,3053,70599,0,0
4075,2013,2987,7330,4845,395,647,3388,0,0
12143,23545,7597,48838,638110,3474,4505,61836,0,0
1136,2638,1522,11982,8941,940,1244,16503,0,0
2263,4238,2107,15005,15263,491,675,6582,0,0
2975,5420,3535,2208,385098,600,994,11688,44,44
6148,1337,2111,5999,14970,930,1034,22065,50,60
2565,7380,2042,8928,1598,685,1019,6214,41,64
8203,2265,2700,2908,44019,507,831,14645,41,81
2634,817,1505,3802,2614,217,1087,5204,34,93
327,445,1711,1705,7006,409,981,4906,30,84
850,2851,5804,9851,6754,341,431,9561,53,67
1582,2608,1871,10711,3823,1248,1113,2172,70,44
4156,4757,1505,5350,3127,1139,1318,19226,88,35
1552,3019,1330,4702,9674,460,601,10274,70,37
7377,7123,13711,25320,479280,1448,13354,51191,53,56
3528,26653,20185,59720,173027,1592,10019,90732,40,56
811,848,2503,11425,10979,1301,610,4187,29,48
3265,3153,3249,4432,7559,1043,1583,17581,61,24
6705,389,2510,6090,6913,1381,1012,2435,67,23
1754,2753,1250,13396,8659,871,753,6186,70,47
11428,4310,2987,2516,48267,928,1573,44395,66,50
34178,93691,14272,38479,1130696,6364,9007,450101,34,70
905,3719,3067,10904,3088,503,1559,2098,14,70
441,4088,2616,8053,15822,627,1347,12187,24,57
2343,982,2982,11963,2532,634,577,4636,30,56
2142,2295,4004,18366,14408,333,925,6400,63,44
3643,1738,879,8603,10495,827,890,3634,100,37
4511,1336,3540,7069,9578,1815,810,5127,81,43
11501,14994,8275,52825,800024,1692,5238,28746,91,53
947,2746,2359,11523,6915,638,1600,11145,81,63
8677,23286,1634,3703,132861,853,1788,98797,69,63
20890,6995,16032,49213,665466,3949,6540,164248,51,57
2029,3087,4493,13795,8344,1191,1504,3052,38,40
4440,2063,1639,11781,15895,476,687,5100,54,35
266,727,3321,11893,2966,386,924,13281,54,48
7180,1513,2312,9839,23662,1167,1370,11432,88,21
1296,361,2992,13356,14822,377,625,7626,91,47
7908,2382,1630,5399,6499,361,666,21611,84,34
5698,4084,2106,8381,30556,529,661,11236,74,40
6183,7592,14399,43017,574188,1797,3683,44341,64,75
2454,4004,3157,6388,9647,557,1444,4039,70,61
4277,2412,1737,12340,24771,617,1444,9038,70,88
3100,1933,2424,10719,16618,575,2126,5364,80,84
577,3997,4934,7833,6018,690,1018,12832,90,75
871,2788,1670,6879,19845,222,581,7875,90,78
6033,10701,1322,10822,24846,396,498,16150,81,67
2460,2213,2112,13280,2952,383,2110,17803,70,78
