emotion,alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta
0,10329.5,11061.6,3095.7,4625.5,44264,796,1509.2,15602.7
0,10304.7,11055.9,2990.2,4129.3,44137.1,704.5,1442.7,15667.3
0,10212.7,10521.6,3183,4131.8,45600.7,706.5,1397.7,15815.3
0,10978.8,5514.6,2312.9,3023.5,114746.2,579.9,1186.4,16547
0,10836.4,5837,2261.4,3420,115145.7,657.5,1236.5,17507
0,11317.4,6275.3,2886.3,5813.8,183554.3,808.2,1953.4,18190.5
0,11065.4,7959.4,2992.5,5830,188722.7,792.5,2046.6,18914.6
0,10332.7,8453.4,3085.2,6164.2,188514,786.4,2098.3,18504
0,10041.3,8343.6,3037.5,5909.6,193309.5,747.4,2079.6,17653.4
0,9744.7,7929.9,2902.3,5523.2,201727.1,791.3,2058.3,18906.6
0,9406.5,7332.5,2924.1,5504.8,195341.1,741.3,2119.5,17428.5
0,9373.4,8238,3237.5,5415.9,195930.7,796.2,2085.9,18620.6
0,9484.3,7886.1,3107.7,5361.8,193040.4,796.6,2018.9,18187.5
0,7229.5,8437.5,3284.3,5645.6,100548.2,815,1983.2,11953.1
0,7379.1,8320.1,3382.2,5580.7,104812.1,742.4,1917.1,12973.7
0,7375.8,8300.4,2787.1,3190.9,42926.6,608.2,1231.3,13448.3
0,7201.9,7486.5,2757.9,3442.6,38483.2,623.4,1184.2,12997.7
0,7258.3,7201.2,2680,3173.5,37692.7,625.2,1166,12975.9
0,7678.1,9398.2,2822.1,3907.2,38740.4,691.4,1213,14353.3
0,7536,8887.8,2693,3783,29714.2,680,1205,12538
0,7562.8,9047.6,2653.7,3527.8,31950.5,668.1,1141.7,12767.2
0,9257.1,12051.5,4014.2,5450,72640.1,1065.9,2009.9,21213.8
0,17299.6,12753.1,4764,6805.9,118628.8,1290.7,2397.5,24106.9
0,17267,11957.7,4495.3,6317.7,118271.2,1231.7,2302.2,25047.2
0,17126.1,12277.2,4603.8,6261.2,113150.7,1293.3,2253.4,23056.3
0,16069.4,11757.9,4783.2,6223.2,108175.4,1309.9,2324.5,21573
0,16102.4,11162.7,4904.7,6189.7,108673,1337.7,2580.5,23430.2
0,16294,11045,4979.5,6811.6,112913.3,1365.8,2667.9,27998.6
0,16729.3,8858.6,4942,6326.8,105459,1347.1,2672.5,27120.3
0,15913.7,8906.6,4837.9,6619,113076.7,1289.3,2666.6,27582.8
0,16981,8547.1,4905.2,7408.8,112476.9,1366.8,2926,30238.8
0,16055.9,4463.1,3412.1,5677.6,70828.7,973.6,2024.9,21354.9
0,10325.3,3762.2,2549,4839.4,24566.3,770.6,1674.8,17825.7
0,11003.7,3534.8,2728.7,4793.7,31007.3,888.4,1666.1,17228.7
0,10955.1,3566.5,2902.6,4705,40935.4,816.9,1658,17254.4
0,10888.5,4017.2,2735.8,4947.9,42077.6,771.5,1766.6,17287.2
0,11147.6,4521,2756.3,4833.3,47585.1,744.8,1491.2,15987
0,10786.7,4789.3,3008.9,4509.8,43283.3,684.9,1528.6,11173.3
0,10513.8,4596.9,3504.2,4496.3,43301,660.4,1610.8,12535.3
0,11522.3,5155.8,3878.8,4672.5,45175.8,843.7,1663.6,26583.5
0,10439.5,5812.5,4192.6,3983.5,50335.9,861.5,1500.2,24854.5
0,9394.3,5886.3,4298.6,4255.7,56168.9,873.3,1671.5,24396.1
0,7023.8,6490.5,4424.3,3752.2,55770.9,856.2,1646.5,25630.3
0,6073.2,6343,4206.9,3652.1,49171.2,756.5,1651.3,25377.9
0,6093,6385.9,3965,3654.4,41744.4,782,1715.1,24926.5
0,6228.6,6436.8,3904.2,3512.1,39321.4,846,1509.9,25562.7
0,6220.5,5693.9,3685.7,3104.2,32442.3,901,1616.6,25378.4
0,6504.5,5386.9,3452.7,2846.3,32181.7,965.4,1491.9,26086.9
0,6633.3,6643.4,2982.9,2949.9,33906,984.8,1406.1,25174.6
0,7068.6,6196.1,3028.4,2800.5,27045.2,909.2,1337.4,12408
0,7277.7,5269.4,2568.5,2842.1,20639.9,818.6,1418.5,10885.3
0,7123.6,6844.2,2302.8,2378,18418.2,767.2,1345.8,12014.8
0,6973.6,6286.7,2404.5,2357.1,18588.9,774.1,1392.9,11032.8
0,7223,6791.5,2505.2,2458,18478.2,758.5,1446.3,10738.5
0,7430.8,6360,2408.6,2407.7,23260.2,730.4,1342.6,13255.9
0,7803.8,6178.5,2599.2,2262.3,22802.6,639.6,1380.5,12601.8
0,7773.3,6179.7,2725.7,2353.6,23385.5,563.2,1277.6,12231.6
0,8312.7,7281.9,2758.3,2444.2,27188.8,515.3,1275.6,13588.6
0,8165,6093.6,2689.2,2099.1,25035,497.7,1227.8,12221.6
0,6849.5,6074.3,2451.1,1918.1,21531.7,405.7,1292.4,10799.2
0,6689.6,6645.2,2564.4,1867.9,21598.3,403.7,1178.5,10936.6
0,7302.7,4844.2,2507.1,2047.2,17800.4,409.1,1138.7,9535.9
0,8913.1,5544.9,2481.2,2410.2,17842.2,431.7,1138.8,9581.6
0,9979.9,5480.7,2312.8,2707,22821.8,466.8,1322.9,12753.1
0,9584.5,5644.8,2300.9,2592,16052.5,539.7,1482.5,11066.7
0,9340.8,5816.4,2364.3,3048.5,17185.8,659.1,1482.4,12222.8
0,9247.6,5867.6,2284.6,3139.4,16374.1,722.4,1553.2,12566.6
0,11147,8711,3823.2,4411.2,67987,994.6,2394.7,35982.7
0,11496.2,9075.5,4007,4807.1,84406.7,1025.2,2470.4,36952.5
0,13172.7,9093.2,3860.5,5289.4,93144,1026.8,2424.9,38141.7
0,14512.6,8234.9,3657.5,5299.4,94100.3,1052.6,2647,38385.4
1,42525.9,16511.5,5409.1,15247.6,83749.5,4761.6,2700.3,54397.8
1,7876.1,6067.5,3996.6,3908.3,32217.5,552.4,1150.7,14844.7
1,7716,6177.2,3521.5,4095.2,32706,561.6,1117,15580.5
1,7896.8,6278.4,3450.5,3882.1,30989.5,572.6,1189.1,14037
1,8370.2,6269.6,3600.6,3973.7,37994.2,614.3,1198.6,16586.9
1,5883.2,5783.4,1817.7,3179.1,24748.2,567.6,896,13415.4
1,6041.4,6075.5,1726.8,3244.3,26082.7,552.4,904.6,13343
