alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,30,74
0,0,0,0,0,0,0,0,0,0
119539,191804,23708,56683,415005,33253,8897,251560,0,0
1220,8326,4842,6853,68920,1170,1643,16806,0,0
613,3038,3973,1107,189199,1506,1612,24833,0,0
1603,10649,1475,1646,32958,951,859,29096,0,0
58570,15894,20528,24720,554706,2596,8159,55962,30,43
291,1284,466,3001,33896,213,218,5278,41,54
2527,881,1000,8631,2776,405,517,3759,43,50
2049,5763,1302,3850,22994,482,648,17650,51,50
556,2791,2254,8007,13500,774,1204,5856,56,50
3274,4650,2111,8492,133548,505,1407,33933,61,35
881,1000,1197,8929,3929,855,1836,3484,57,37
831,1620,2573,8867,2518,800,1006,4548,64,29
934,1437,1452,10713,5409,426,755,9066,88,20
2034,1957,2626,7029,7397,486,174,1555,80,13
1639,4817,1779,7718,4610,1122,1027,1375,100,21
1922,1715,2172,605,105823,287,907,14352,100,37
3135,8367,1979,3482,60216,1097,998,18634,91,40
1730,2557,2244,10524,13373,430,710,17637,84,56
1359,759,1003,5471,4938,551,455,6253,66,47
2600,2097,1026,15522,808,497,631,3010,60,34
100,3240,3771,5552,2604,561,1165,3624,60,35
856,2130,1312,21333,2313,192,602,4070,83,27
10577,3901,16879,23442,762231,3214,6465,55087,90,24
1588,2813,2528,10159,4633,875,874,3725,96,23
2068,2667,2534,16600,3614,546,491,2962,100,23
1938,1004,1362,4335,5262,522,577,4251,96,21
5203,4797,1147,2944,209794,620,1545,16610,96,34
3550,1612,1381,6653,10129,367,1278,3158,77,44
2752,1166,4097,10490,4969,422,544,1319,67,51
3269,650,1518,7432,1599,508,1230,3612,75,53
4079,1040,2978,7012,3188,409,666,6595,74,54
545,303,980,9222,1295,478,766,2092,91,48
3021,4426,2894,10677,6451,731,1149,3444,97,26
3384,3954,4265,23275,8233,515,980,2715,87,34
2362,2176,1129,8212,6565,217,1048,3970,94,29
3128,5967,3209,3573,5819,583,1738,6690,88,34
11083,3291,8387,26614,236990,7482,9874,42963,81,56
