alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
9664,13201,22181,37085,1474171,8988,12242,28277,29,70
2023,6274,12199,17983,44132,15051,10793,4667,29,70
105987,46782,28115,74650,1056596,4226,11596,173062,29,70
50401,13525,43818,37915,2622897,6358,7998,1008800,0,0
8769,3189,4691,5357,824826,703,1672,23460,0,0
1266,1478,467,684,298089,139,137,10910,0,0
1844,32601,10559,36317,1025117,5383,3146,23941,0,0
6580,4485,7733,18813,612028,630,1281,20779,0,0
1677,2577,472,1034,138288,52,192,6381,0,0
36900,78296,18155,40892,2527367,1293,7475,114726,0,0
15815,41245,36308,93345,1616150,8001,8863,173341,0,0
24090,3796,2732,10794,2138371,1327,2891,67334,43,54
6417,11228,7252,6719,640852,437,1507,56953,43,54
13145,9392,10044,69806,40390,5642,5600,31431,43,54
40813,12487,9891,48979,44088,4867,4556,20396,61,47
4140,1131,5184,23743,2731,659,1897,2757,70,41
1852,2500,2790,24039,5481,1475,1322,2827,94,29
4125,855,1249,12747,6254,733,1201,3257,100,26
5678,1474,2741,24089,5637,583,600,7352,93,29
2005,2613,5981,19372,3095,1022,1182,5157,91,10
94245,80594,47747,58835,49176,3381,9705,170584,91,10
10393,20316,1980,3263,2205701,398,1097,33608,91,10
968,1140,1350,10342,13761,406,506,3853,91,10
12474,15243,18130,94200,69696,2128,7032,14083,87,10
10169,5388,1272,8761,5690,1437,2639,22806,100,4
1394,1506,805,4984,56457,165,293,14852,78,17
1051,2781,2441,8107,6496,453,795,4874,44,16
3111,5254,4009,10357,6139,898,2425,3431,48,23
596,2381,3047,13788,4915,572,1079,2177,44,37
4893,1417,2394,7223,48833,1661,1489,15450,81,20
4547,7499,2589,14817,13637,643,769,10155,93,27
1529,2907,2060,12090,3339,561,1361,2469,83,38
1576,8127,2151,8310,9386,247,834,6416,83,27
5149,11240,2590,8630,21782,339,1071,30106,64,47
2669,14510,1921,2048,38340,110,1059,14246,56,54
89403,208946,455154,142203,2269246,25928,214539,914077,47,67
17155,13812,1806,3166,2056893,493,736,39980,47,67
16598,8694,9460,49827,1767998,3645,5154,68668,14,84
20702,18474,12479,35620,662351,5675,11528,29807,11,69
92713,31624,11348,31510,1102488,4058,3467,295158,26,70
1722,7910,698,2574,147642,139,225,5002,16,57
34657,8549,37544,27361,12197,2667,4555,32397,23,63
20958,36052,31075,31728,96092,4681,7576,113822,43,77
1399,9369,3286,13560,69554,309,1022,8286,43,69
3037,6916,4342,3171,10467,1065,1728,10234,66,69
8556,6746,2186,6735,11467,735,637,27057,87,60
7567,5667,3666,5678,5124,439,429,22914,57,57
137275,23443,30482,64263,538952,2525,3003,200403,51,61
4061,7844,1731,7173,44301,402,1072,50694,41,64
2337,7499,1668,17862,14717,507,670,13974,14,48
4344,2790,2262,8402,20862,472,1469,7870,17,41
2357,2584,2334,6045,2183,833,732,7484,23,41
1253,5373,2003,3092,3060,585,558,2498,34,34
778,548,1122,7614,10150,962,692,3153,61,54
312,654,2831,3011,848,427,1035,7349,77,41
1091,1234,705,11528,3453,466,552,2822,87,21
5908,1550,4260,8631,10813,716,693,1862,83,13
2333,1158,1412,10521,434,392,486,4219,91,7
1315,470,1199,6552,6569,822,773,1621,87,17
3456,4408,2850,13811,2899,162,576,4727,88,29
1133,1714,1946,11012,21710,536,748,12271,94,41
407,1630,2399,4718,1871,605,911,1780,80,20
696,1329,3392,6550,7227,847,1098,3560,94,21
1064,349,561,12519,7574,533,935,5990,100,17
767,2106,2418,8592,6627,323,741,5870,87,1
1441,4926,1590,9100,2793,622,302,2023,96,1
2401,3049,1353,4158,9198,651,470,1972,80,11
9194,7666,7518,29162,240823,3226,2846,64166,64,35
1440,4272,613,6457,2998,430,558,3720,67,47
1283,1426,1910,6290,4049,302,779,1947,50,64
785,1082,1164,8719,4438,303,471,5168,60,56
2230,3206,2066,6785,1910,226,743,5072,60,30
1528,435,1290,5067,11503,280,714,5109,69,41
2243,508,2800,11465,3947,321,846,3496,83,26
6721,7280,4362,10880,23650,330,1638,9735,84,17
39310,80947,27544,42905,1760054,10135,6408,251594,84,38
15402,22281,7695,29991,423730,3819,9240,20498,70,38
2336,1292,3300,11822,11558,860,1291,17313,67,56
11582,13860,6078,10436,810631,386,1127,58775,54,53
5631,3544,2299,8367,3724,809,443,15894,54,53
8983,28589,6825,9957,145578,352,987,78759,44,47
19020,35750,12659,45076,62461,1839,4618,241204,41,48
5721,1349,1025,3335,25646,221,408,6086,26,29
2108,5761,3654,6125,78072,1143,1122,24219,20,54
2722,11229,5775,16384,108879,453,876,17469,23,48
2389,524,3150,13669,14255,1252,1728,12126,38,47
2610,6449,2735,12525,10712,604,2286,11928,57,37
2097,945,3751,7066,102883,375,2418,1867,63,27
15683,14240,28152,44708,680465,2399,5029,55559,83,27
29014,5471,10714,66151,606441,2329,5214,192988,90,21
9292,24588,8266,15888,421569,2219,4340,80713,69,24
34292,3726,16188,10959,929326,1694,5317,68754,64,26
19199,31391,6102,19650,32813,4447,5315,18020,44,35
4927,7042,2676,9707,456951,478,1476,26827,27,57
5589,7713,3618,5658,103162,608,2425,9914,34,69
973,2981,4818,10214,10061,292,1204,5773,41,80
4204,2951,1454,13606,1495,342,661,1585,56,67
6435,467,1185,5505,2532,861,612,5322,64,51
4375,2500,5536,7729,19925,321,1351,12174,69,61
1547,602,2469,7695,8379,594,1259,2604,77,50
1033,3290,1508,10853,9643,574,990,10633,77,48
2016,6225,1444,7460,13302,335,561,8033,69,38
1600,1186,1345,10382,5638,672,1023,5773,67,37
717,629,1989,17541,5981,278,225,7045,60,27
991,552,3281,2671,3635,395,832,9374,51,14
1724,4355,1300,4390,19758,129,1316,8985,64,11
4041,2686,1973,2470,16013,173,847,9334,64,10
1676,7293,1341,6656,5418,212,564,6176,63,27
1544,813,1588,3691,4132,266,398,4230,51,60
137,3712,2760,5160,3342,448,970,6152,50,69
5700,1353,1208,5239,10611,460,454,7176,63,66
800,3158,1472,6052,12261,1212,810,2831,57,66
2937,773,1582,6000,3864,434,760,1119,67,60
1110,3093,2257,8036,3019,569,433,2398,70,66
1962,1204,2055,4368,9612,135,1000,3900,75,69
2321,547,1939,8452,3365,467,697,1691,90,63
408,988,3235,11014,3960,221,1072,1457,100,56
881,661,1187,7595,9382,555,1725,2778,100,37
987,1946,1796,8052,3735,350,734,5689,100,24
1844,3147,3556,8799,14115,472,436,1873,94,17
812,962,1061,7882,11125,443,868,1335,93,21
979,4703,1117,2996,7118,434,440,1073,81,29
1304,2890,1839,7864,6398,829,920,6446,77,56
3944,3067,5207,10502,8895,1195,1702,16236,74,63
4340,5239,1809,2657,4866,600,1507,6718,64,56
11424,21570,3727,16077,105735,848,634,48215,53,78
2521,396,3822,4246,17178,1130,930,1457,40,67
1261,2697,2075,6824,14248,868,496,4404,56,69
1476,4821,1482,10324,3735,601,1713,3749,57,75
4342,4391,1233,12612,78444,958,923,14238,61,63
7179,2661,3138,6023,48872,848,1482,16396,61,57
13555,6284,5635,23613,24155,824,3570,9705,41,61
13500,5702,3637,9623,86288,792,1201,44136,38,66
1678,1040,1249,11406,4704,240,1386,4280,27,64
3358,11463,4977,4748,3864,397,651,12077,41,54
3680,3321,1523,6739,3556,382,1167,5833,44,63
1962,1479,2446,11124,2404,215,821,6370,40,63
1479,369,2917,5023,19964,369,1219,2798,54,54
1734,1108,3170,10501,204116,1085,782,33407,67,56
2499,1688,3756,12917,3755,573,784,6022,61,26
4540,2010,4666,6195,174871,224,1099,17767,75,14
3580,424,2997,5001,3399,694,1425,18194,74,17
3420,4271,3204,11958,7108,1714,1886,4668,56,16
2155,2737,4359,11237,39207,720,805,19981,67,41
3277,5729,2438,5208,9466,847,1719,3118,57,37
420,5859,1277,18841,2829,303,722,2918,57,53
1914,2764,1420,3935,5288,212,998,6547,57,60
13630,5614,5265,27739,613581,1009,2406,19460,51,60
760,996,1246,11441,3620,455,785,7524,50,74
5482,3566,3775,16985,370836,694,1246,29367,43,44
6379,10973,2233,3560,17186,830,1384,18329,40,38
503,3522,2549,7523,5523,218,1470,4006,30,47
1382,1405,2083,9306,1700,268,556,9965,40,43
5928,360,4737,8543,1084,525,329,4447,43,47
5564,4598,3282,4568,14200,495,422,9155,61,56
614,1977,1693,3974,5284,234,853,3768,70,51
1787,9929,1413,9716,70654,150,1235,20560,69,51
2026,938,851,5402,3166,285,890,1636,54,63
2747,1225,750,10141,10142,506,503,8056,44,63
1007,522,3376,9744,10435,356,1026,4311,35,51
4078,5050,1568,9477,6342,384,669,10301,43,37
4018,5546,348,5097,1934,366,359,3380,50,38
793,2508,1300,18056,6232,589,770,10630,27,53
2573,1889,1840,8669,5026,209,1085,15565,34,44
11548,2100,2419,9030,2929,754,1222,10607,13,54
5129,2777,2440,6866,13768,356,1212,6972,16,60
8413,3922,1302,9943,6036,967,1674,7465,37,50
5548,2738,1055,5520,5248,378,1074,11605,30,74
1265,2323,2676,6233,20028,285,457,6664,26,87
1329,8480,1654,8641,18773,335,1188,7033,37,74
3695,1177,1075,5495,3402,530,635,6838,29,74
6449,6429,1205,7422,4836,375,1328,6291,34,66
1266,1120,1087,10899,10622,272,1121,11079,35,74
1000,2642,1548,17814,3894,128,1181,7326,21,63
1168,404,1129,6629,6494,532,898,7019,27,44
892,1899,1769,4272,1850,434,743,2988,30,29
2950,490,855,4181,6392,394,1154,5577,48,16
1387,5653,3789,5265,17718,124,617,1051,50,30
1411,1355,1286,5761,2736,1023,434,3250,61,51
1370,3319,1947,8792,3010,561,664,1435,67,63
2262,2180,2025,5618,16119,337,880,4533,69,66
2515,2271,314,1819,91812,141,174,4513,80,69
3346,18916,3428,9937,2722,696,584,15291,50,69
1330,2719,2228,5712,10066,881,1221,4887,40,84
6525,5235,2932,7633,56884,609,692,33451,37,81
1233,3618,2052,9178,15426,518,1350,17150,21,77
1745,4188,1618,12077,156019,516,2041,3420,35,57
2952,902,1095,10823,28639,790,841,5743,41,48
3863,4135,18738,76563,456720,3500,4603,18880,34,43
715,5448,5282,13067,11310,553,1081,7270,60,26
3861,5490,2609,6201,102359,792,1324,12384,75,30
1017,3355,3858,2777,222578,487,451,49134,70,35
1177,1101,4257,8756,7450,586,550,6064,66,21
1459,6613,2381,16191,84160,751,2249,13905,63,27
3191,20577,8278,80105,669931,3217,2868,37307,50,27
4801,9179,2149,8503,38524,1385,2099,15095,51,14
7819,2368,4248,7730,78024,310,570,16269,51,40
5633,2208,3168,5160,28031,448,1034,18315,40,53
8941,4453,1493,7711,6880,543,1816,26177,41,56
2129,3215,2080,3907,18779,695,1660,8913,24,66
12069,17506,17094,46992,1057892,6211,5853,65012,35,60
4450,4180,2585,11271,50217,382,1193,17225,35,54
1790,526,3280,5777,11295,374,1475,3243,34,53
3933,2012,3556,9720,49080,888,1378,5537,63,44
16784,1520,3149,6491,75325,758,1468,34133,69,43
5023,8002,1051,10085,198549,932,1877,63279,57,51
13117,30571,7905,17134,901630,5440,6319,109784,41,44
2245,1716,1202,4059,4472,327,724,5210,17,50
1173,1061,2093,6757,2296,416,815,4961,11,53
3562,606,2266,4852,7986,658,1012,9858,29,41
151,1090,1627,8411,2661,242,965,9487,53,47
1324,3287,2104,7790,15589,384,821,8294,63,26
4276,5501,2818,7334,103841,461,891,12557,64,23
3169,1740,1660,14509,2424,346,448,9687,57,35
978,2362,907,6002,4445,475,1208,3069,53,30
3412,5840,1309,5108,64300,215,1076,3892,53,53
2282,1154,1908,6146,8074,780,870,17348,48,67
6266,75251,3019,32260,193681,2789,5973,287733,44,53
2219,354,2546,8486,5645,391,979,2525,24,56
2138,1280,1475,8918,4766,921,968,2632,38,50
2154,2391,1321,5755,4260,507,905,1565,48,35
2119,1078,1201,4136,16375,738,302,6927,60,51
3524,2155,1817,8403,19162,561,774,6869,83,51
923,10023,1970,6499,3385,226,1135,3170,74,57
1368,2230,2109,8268,21412,291,2004,3867,67,74
574,1294,1116,3274,7505,316,986,6516,70,66
2504,846,1387,11180,5290,522,1469,1906,70,60
4290,2757,1645,11695,248,517,800,1411,75,56
522,3208,1714,6123,5134,532,556,4444,77,47
565,4825,1322,8022,1339,267,1461,6548,74,50
1596,3419,1520,5040,17582,550,905,5505,74,56
1190,2460,2580,16104,4904,311,729,3303,67,64
1323,6610,3306,8605,520,395,986,19684,75,53
961,3383,1260,13082,3027,376,878,1631,69,50
3897,1376,4111,10494,5444,1274,937,4890,75,48
3434,328,4232,18694,8080,703,1830,10140,84,41
7720,2712,1278,6884,6687,411,1259,3275,83,37
4115,4249,2762,16874,7753,167,1200,3261,81,51
4723,4136,3253,8428,8126,692,825,2394,81,56
1367,4690,1602,8721,610,359,2415,1563,78,66
298,2798,921,2181,69520,273,538,4198,75,87
1002,1254,1375,1797,67564,918,329,3710,78,77
3238,1146,5544,8468,9514,895,1804,7451,78,75
10059,37353,3707,8570,36570,1440,3231,19364,81,61
55971,68917,11183,33495,844732,2751,14958,140051,69,75
