alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,23,26
0,0,0,0,4,0,0,1,0,0
19292,77587,4439,23621,22492,12568,5653,88703,0,0
3090,2327,3403,28913,243185,1310,2151,63053,0,0
3355,17785,3480,7314,21225,473,1854,19244,0,0
56988,90262,12100,47669,1016852,4822,5953,225330,0,0
8046,2006,2811,5457,40699,1589,1069,8856,0,0
33952,22304,13285,23221,807813,6235,6608,52362,53,50
5801,16372,11420,16282,69919,599,4486,19619,64,63
5254,11595,1162,3417,105880,380,862,30385,88,74
53090,79918,17593,100517,557874,3779,19856,128716,77,83
11083,20969,1497,6070,180472,1619,2037,43835,66,83
55233,30319,8437,18566,362442,4609,9966,140341,40,83
3867,2857,3394,4919,122005,1314,1208,13093,11,84
2479,2318,2316,15417,8338,917,560,12591,41,80
5819,12068,6083,14759,82545,770,2037,39435,51,69
10036,3591,3358,15846,285975,752,1180,75872,77,63
2079,2013,3121,5293,9593,671,486,2450,77,53
1429,1554,2096,5966,13126,804,1168,5929,83,54
697,2851,2588,7997,4613,439,943,6182,83,56
7158,11449,5631,40319,798614,2204,2326,118895,90,53
4095,4641,2294,19650,60668,903,2314,50263,84,51
3036,8479,4922,20003,226669,822,634,16848,54,41
25901,23200,4484,48057,566309,3757,6420,170327,50,43
1198,1628,2658,6196,21207,260,1150,1790,17,44
3998,9302,3865,4920,92419,397,514,30378,50,51
9019,8381,6569,27705,88336,942,2441,82170,61,60
13529,18475,9184,18848,405654,1705,3587,90083,48,54
827,316,800,3510,46270,301,241,3746,64,56
4077,1668,2630,6087,3909,437,1334,5418,51,50
4509,2660,1774,5144,72156,1194,1151,7393,63,53
5304,8142,1807,13646,15574,599,929,15390,69,64
12728,14080,8274,50362,353524,2277,4641,41361,67,67
17404,11287,12773,28323,450856,3106,9288,180222,64,75
3258,1544,4476,1340,4695,395,1315,3136,48,64
68267,33404,10582,62864,1152729,3110,5145,69573,66,64
8166,4989,4792,4602,57172,109,309,25619,66,67
3839,8892,1884,5570,52930,455,1124,22296,66,69
2918,1435,976,3855,148640,271,574,19687,63,78
3688,10632,4408,10439,59880,1221,1087,14400,35,67
3806,2847,2120,3415,15651,920,1621,14555,44,64
4649,1800,5637,5457,36079,984,1428,12241,43,64
15659,26277,12413,25990,787261,2078,12262,21978,63,60
7415,18531,13815,46041,345341,2496,9625,37695,81,70
3613,5614,5340,9032,6552,867,1067,8127,84,66
3983,3201,3870,6069,14240,765,2909,2659,97,69
2362,17483,3358,6903,274791,1473,971,43873,100,78
4919,18194,3925,6775,65549,434,832,16028,87,70
2988,9096,2393,7844,22950,1174,852,31991,78,81
14269,16690,10252,57163,695539,1437,4264,59906,57,77
1894,23238,2596,6805,25737,969,821,9691,43,67
6300,18041,1276,6650,167691,134,217,37977,47,80
9038,28994,6735,15789,1783489,1892,2114,93248,26,74
1575,14656,4157,7688,98333,1194,1627,17583,23,75
542,2422,1468,7644,15488,387,730,7959,24,81
2712,1762,6186,12094,4838,898,670,2028,30,63
104627,36962,39303,68000,1070129,2952,3826,899141,70,56
447,1085,1408,18495,8147,172,434,4079,66,48
1164,1606,6343,4350,10353,616,816,8650,69,29
5030,3012,4545,8415,18596,481,1348,8631,80,27
34372,11604,11656,42710,740551,1754,5797,46194,64,30
2442,8565,951,3352,61927,267,727,40308,78,43
4579,42,1925,11895,10567,948,470,8326,51,54
44854,21549,12267,35130,1290881,1890,7923,305398,40,60
1008,1424,2607,5758,2505,281,907,4264,17,54
1089,4499,1340,9618,14031,986,930,3245,29,47
3645,6538,2463,12942,53360,584,2612,11291,50,51
12262,21493,12740,49682,359283,3497,4281,156647,47,54
1894,7070,2387,5736,319199,512,1472,8685,54,53
3248,3036,1513,3223,4663,963,1332,9141,44,61
9653,4920,3127,4851,13601,963,1327,15168,38,61
2040,2049,902,1458,33311,96,366,7149,38,67
893,3224,1814,4114,2349,222,533,3469,40,77
2165,2135,1635,7587,8775,642,751,3193,47,75
1410,3200,1771,7246,24430,557,2325,15955,54,74
11177,3289,3251,8061,5164,912,594,7517,53,61
7062,863,2098,7629,37064,654,651,28404,57,67
14658,9515,4372,15679,882724,652,1622,21256,44,61
2743,2489,3440,7118,137208,360,2047,5336,37,64
19823,15607,34064,25254,377723,2691,7173,248363,50,69
13758,37440,19949,55407,281631,2106,2634,69762,48,53
1188,9318,2962,8662,33862,845,850,27208,57,56
857,714,2426,10734,4068,380,434,4292,54,51
1161,2906,1352,6367,1485,747,1005,5704,57,40
53267,13859,14784,39224,604184,2974,5994,57228,60,48
11082,3671,2703,14532,15446,450,1004,21944,54,53
4115,2390,3203,9840,20329,377,1122,5295,54,56
2314,10980,4167,9248,13977,960,1058,20450,51,67
8680,1770,4992,12235,884436,2198,3618,61195,50,69
8977,6324,6857,7681,146808,1757,2363,52149,44,56
9257,6312,54624,18980,605741,45264,60686,1053609,48,51
16891,51142,9573,12738,829868,3177,3140,152096,29,26
53230,26666,18425,41407,590860,8376,27977,250324,20,29
154308,77298,77175,70447,1587877,15494,63169,665653,17,37
14162,11526,51511,38961,2404388,8163,30204,63264,16,41
5821,13810,3659,12177,898335,3550,6771,21530,41,61
1254,2408,1014,2027,43379,1004,2090,12625,48,63
23649,15313,7989,29757,699726,4588,9206,128971,50,63
2054,4943,6402,6392,8033,379,1771,6172,44,61
8730,6271,3378,5160,306523,657,2386,47396,43,66
26325,46874,36952,70443,1691972,34038,48510,999370,38,61
8323,14322,14426,28607,315746,6707,21409,247247,30,51
32762,13573,12681,13456,1388081,6292,11788,95741,30,43
26979,68992,17028,12104,647842,16847,30003,91498,14,43
26622,80963,15783,14462,304255,7552,18261,121665,20,51
35726,63702,18199,7996,170392,10561,15299,151089,27,70
147126,89236,55404,20817,1997336,24093,52127,283109,30,88
13421,12307,8451,7523,638270,3653,15239,236332,34,93
4573,11649,2860,8045,412622,1843,8577,39231,21,77
6870,95321,9009,32075,915901,7327,17575,81245,17,69
18724,12885,6584,17309,1194007,7292,9503,24962,14,74
7139,18089,9136,6902,353062,6208,13062,39773,16,74
3644,2088,5237,2376,75098,629,3050,50474,29,87
28458,12442,48187,30210,478552,14933,25501,187680,37,75
98721,67439,32172,91242,1589519,3591,25231,394827,51,60
13110,4370,11324,13310,181549,11666,9086,48615,44,53
73055,28640,17313,29203,945133,9977,36841,188750,47,48
16792,40910,17236,38105,175776,16472,23589,341345,41,61
15035,38412,7369,20457,1428779,3862,14956,36738,26,61
99167,29057,35546,20212,1086472,19260,73897,216227,29,69
47237,44161,10825,9227,357693,7252,17859,86424,24,75
1655,4813,7146,5961,166954,4431,14131,21462,24,81
14493,58750,46321,41870,1735670,30223,33997,219219,41,83
1668,3557,3159,3120,659177,2698,2884,21823,50,70
10010,4218,4547,21828,290114,1588,5686,54544,50,64
7167,35073,5004,3820,118054,3714,4904,71401,50,51
18645,4847,5128,6636,69273,2571,6867,21635,34,61
6671,12650,19318,7806,909524,2259,10651,97174,29,69
1761,8310,10728,6027,150814,8989,17424,41360,34,66
15729,24565,38107,64458,606078,17333,25897,108319,44,66
667,10773,4863,3641,109015,3479,1637,27595,61,57
24838,52721,14376,35048,1104246,6590,22170,120096,63,51
19560,40302,17953,18374,426848,12840,20787,211348,54,61
14734,30287,13492,21963,1282852,11857,21575,228797,43,64
8606,16836,17486,13513,424467,10485,22444,434247,26,61
25288,128612,19255,87077,936294,9359,33244,232837,14,47
19164,6878,9453,3948,295897,1974,3582,46632,11,47
100865,164130,33391,61989,1223802,21730,49482,140395,20,51
15539,6716,6590,13926,1024623,3818,10792,181059,24,67
2539,1426,3239,3782,132616,1007,1853,23012,23,75
2128,6461,10831,4739,95020,3954,6826,16494,30,64
7347,9786,12591,17782,342675,1029,5364,13243,41,61
1782,2572,6676,12084,18307,1137,4278,11679,57,53
24280,10661,18255,31078,718887,11598,12123,46977,84,54
557,4907,1344,5456,86222,446,592,5410,91,64
13470,8288,6414,19002,45759,1630,4118,31166,80,67
9153,4813,14776,15061,639239,3624,4420,37610,66,67
13449,51286,30226,19717,263716,10256,15445,57690,63,69
14148,30014,8259,16943,296549,5449,6369,168936,64,74
1509,4333,3522,2029,425995,1431,5214,13785,53,67
2320,19844,4077,2185,895053,2822,8776,12649,56,66
21784,2327,14813,4865,433371,4343,6513,139335,47,80
44712,23547,44843,51210,1460897,10010,32376,704185,37,67
12676,15135,5956,19831,132586,3801,2894,83787,40,61
12466,34546,11579,22033,469895,5500,13462,141351,27,60
16329,20449,14533,11107,1369742,3321,7969,55032,23,48
2033,776,6999,9120,24175,3310,5938,27145,27,56
4938,1678,4715,4483,15477,776,3443,7221,41,53
6091,2076,4031,6170,3811,2207,1788,4046,61,56
1688,2691,1521,7073,6905,605,1379,11902,78,63
1321,5894,10274,3652,66018,1748,3574,40079,70,56
2416,7169,4988,7679,62974,1080,3295,6014,70,63
9122,20225,4286,14245,309941,1848,4375,138920,69,66
7872,5433,3077,20475,418921,4136,4671,37951,43,56
1179,1844,595,3806,278990,696,703,18344,40,56
3683,3428,2716,10407,7742,978,1969,30086,20,54
11986,23213,2679,22105,113508,696,1554,77751,4,47
2023,1995,3628,7997,7355,1218,898,4609,4,51
1506,2031,2743,4698,2588,898,1204,4550,23,53
8536,5229,4956,38392,15915,1277,1214,17954,48,60
986,11826,4601,14811,30028,1943,3189,7918,54,63
2341,2073,4179,11159,15571,1158,1484,15170,77,64
9390,5505,12114,48860,708791,4411,3210,44929,70,61
1498,431,3024,7080,14238,1145,1147,3040,66,54
27321,36797,24281,29897,448160,5544,5901,117485,80,53
25716,17824,11707,98645,103500,3548,6528,25898,75,51
2236,8515,3678,7396,61857,806,4229,8074,70,56
