alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
217291,230829,13451,52251,744473,38043,12052,330990,0,0
4094,4514,1355,2266,10980,328,677,2286,0,0
54776,28113,8297,18775,144757,2596,3161,136094,0,0
5380,7388,1434,1078,3796,238,1843,5134,47,53
2554,6033,1869,2403,16423,258,314,8153,57,51
1014,66,1426,1232,7508,483,1424,4649,78,34
571,3293,232,738,35432,105,133,12749,66,23
176,1049,906,6492,5311,198,845,1870,80,1
900,1402,1148,4743,53333,472,752,37635,66,1
1385,1040,811,1756,1374,279,292,4356,57,1
1468,6021,2578,1025,14932,626,467,12847,83,7
26570,18521,9354,12540,474753,878,1476,51138,70,34
2690,5962,1946,1021,4760,413,614,6074,90,63
11163,6439,1968,2697,7564,554,756,21520,74,77
3877,5224,3468,1928,45837,401,969,14885,77,74
2749,8322,1078,2738,11167,149,504,8640,67,70
2115,5099,756,3644,3705,303,703,9401,61,67
4437,9917,2199,3799,64108,194,1132,26011,63,63
7644,2672,562,1558,3201,638,676,4396,48,77
13301,22408,1739,9264,17684,490,1136,8292,43,84
2248,3763,2721,2814,14575,315,378,5484,63,84
9093,22779,1464,2487,89688,426,868,32305,51,93
23027,7960,9078,4638,1029398,1057,1679,225130,51,66
7305,6044,700,1318,4706,193,419,2835,51,70
9191,21293,2125,4630,13915,413,1281,6178,37,87
1650,5153,1486,961,11508,289,1996,1797,57,91
4034,18303,3971,3777,24095,345,856,36510,66,100
30919,27990,6267,14115,735052,1060,3121,152489,63,83
11391,7583,1324,3361,17052,418,320,15477,57,75
4522,7516,2114,2663,20469,608,499,32575,35,74
4184,9511,1799,3656,19666,684,445,9558,47,83
5904,3699,2572,1329,15482,324,666,8680,61,80
7183,1792,568,1004,35313,117,481,18003,57,63
6524,3104,1688,1733,7712,418,861,2563,69,81
4021,11742,789,1610,15975,567,1173,24847,54,77
1779,11415,768,1294,24403,358,637,11692,37,78
12760,4049,1985,2548,78997,245,1064,31103,44,80
11244,2784,2166,4365,21072,472,3760,14550,38,69
14176,2716,1663,3938,32819,341,692,9809,50,77
3526,10585,1379,8462,69094,1113,1488,24874,51,67
7257,932,1800,3952,76177,329,643,31693,47,54
3450,1113,1628,2645,9031,286,540,15441,50,38
9692,6218,1926,1767,33508,749,276,6152,61,53
30611,2626,4422,7740,170485,1706,1396,15291,69,64
7677,2265,569,3905,10197,222,423,3698,67,83
4673,3607,4512,2226,76391,466,2807,33475,69,78
12385,30717,6602,10300,41152,1589,5543,83444,63,66
6887,22724,1149,3895,71667,399,1172,7148,44,64
6132,8009,847,1778,17215,188,794,8694,34,81
8325,11559,1868,1685,21177,252,914,4401,38,100
53501,16898,12491,19693,215851,856,1849,23586,57,100
1057,4305,1062,2022,7191,288,1195,5605,70,96
8988,6538,1089,3625,20037,397,827,25394,67,88
22160,7129,1196,2161,11999,497,590,6042,47,87
3764,5383,1408,2689,11624,354,483,12643,41,84
6211,7717,2404,2746,60355,300,516,13633,53,88
19709,9556,780,4851,10812,194,894,11374,61,81
13972,9080,590,4721,109704,164,435,12009,47,91
3089,3084,1075,1089,43659,210,1091,32777,35,77
12920,4419,2202,4040,14665,609,436,14433,26,77
9953,9231,1672,4557,99211,140,687,15882,44,74
2903,1588,1185,4645,175476,455,494,21190,50,74
6027,16766,400,4774,29025,446,356,11590,29,78
6801,4890,2528,1038,31443,394,484,42928,30,56
2079,1461,1603,1238,14722,451,1031,5593,47,48
16372,5880,1534,2250,8884,232,411,16052,43,67
5391,2420,1695,2419,45087,173,551,13897,64,56
2511,4086,1548,1711,14657,351,271,14055,69,60
6413,6635,905,5326,21395,292,603,8496,50,57
6419,6649,1218,5086,26413,161,817,11987,43,61
20645,26897,4002,9139,710852,1575,2442,91275,34,64
2021,7310,1040,1461,19696,243,463,7798,44,74
1973,3407,1308,2129,11974,296,892,7827,54,67
9425,23130,6945,2979,583232,1976,3872,139670,51,54
2648,2137,1092,2303,5342,307,1474,8061,60,53
3605,2845,1129,1624,4547,433,585,5540,69,66
13788,186,3546,4422,18820,337,685,14999,78,63
15882,14454,1200,4654,39210,457,187,15106,64,74
1783,13147,788,1478,13686,297,482,14745,53,81
10114,4925,1627,2380,8316,332,397,5646,50,88
32336,6229,7046,9839,207618,2213,1818,154817,38,78
7331,2168,1225,1524,2511,294,768,7042,48,75
5545,8903,2469,1999,47798,319,446,14326,60,75
6190,17130,1793,2760,11585,211,659,18774,54,69
30478,7180,2047,4415,45665,303,700,13219,54,93
4999,3434,1345,1283,5183,505,456,3674,60,96
8128,17169,1583,1732,49415,473,525,14728,53,100
10238,9599,1530,8085,11096,392,569,18589,51,100
17200,9570,1245,1484,115241,182,1595,60288,35,81
15213,7495,1719,4998,45423,726,1034,13249,37,80
5621,5393,1206,3117,18650,341,823,7143,43,81
17966,8065,1808,1787,3322,374,516,4602,41,91
6295,4887,1028,3570,8377,884,1070,3513,60,100
4557,10741,2861,4618,39322,431,1415,7184,70,100
2548,2582,399,744,42761,212,278,19934,54,88
12090,11333,3568,1001,10879,497,1076,10628,60,81
95833,18064,10521,33943,304322,7544,3965,81005,56,77
23182,23312,3076,7569,67039,2904,2846,23898,44,80
15712,2090,821,3412,9656,345,879,3985,54,100
