alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
81721,32112,7567,17707,148695,12472,5431,117093,0,0
2523,1695,1041,2407,10413,481,1584,18243,0,0
9524,7887,2156,5402,32760,459,703,6794,0,0
13750,11935,1741,3676,132627,1095,1334,43059,0,0
2342,8210,2169,1420,7816,311,466,8604,51,48
2053,8168,1076,2485,19020,436,314,10572,56,63
1637,5349,1848,2807,69062,149,795,12889,67,61
1071,5786,1253,1354,1277,264,571,3339,67,64
1976,3415,1425,3444,6593,292,615,2671,84,64
10514,1862,2004,3468,3719,555,843,3508,91,60
1436,3778,1181,2255,6433,366,1068,8408,81,53
14825,3639,1294,1830,4495,689,1086,4769,77,84
12092,8035,1270,3424,4949,424,1611,6659,64,93
2314,5086,3325,5319,30239,492,806,13144,67,77
6416,2630,1167,3747,16823,556,2512,9160,64,81
5103,7272,2271,1678,323470,665,996,4660,75,75
1261,622,879,328,92722,175,236,1609,97,63
14782,4636,1024,3443,9091,574,1616,17534,77,75
751,1639,297,690,125853,145,127,14754,57,56
7389,6217,1405,623,7356,233,760,3741,51,63
12580,304,2120,1660,3414,613,758,11146,38,66
2936,1616,1734,2203,83065,292,734,10486,56,53
5084,1998,5020,1609,35406,1236,2278,8921,93,66
20475,68563,7290,11608,668259,7426,9377,47414,87,57
16986,915,2423,3829,9773,667,1138,4318,88,66
25126,3099,3038,1208,13646,326,976,3951,83,93
7655,686,1584,6065,11336,801,551,20790,61,90
5224,18521,2501,5087,47436,1450,1703,15527,63,88
11196,1985,1119,1765,13937,704,1299,8800,53,81
7330,15911,3486,1782,19713,538,1639,10546,53,74
6360,6756,2378,4121,7356,345,866,19597,57,80
11195,6765,1378,2656,18152,625,837,18920,50,77
10830,1767,1132,4151,1881,680,498,7447,51,75
10779,1194,2074,2273,13220,569,847,6833,54,70
4770,2910,3496,11194,25121,1079,1497,34240,54,60
18850,3158,2018,608,7244,1224,1833,1037,67,75
8815,978,3468,4722,12146,460,1376,6001,83,66
8099,5149,1807,3827,9552,754,1350,17972,75,54
5922,2261,2148,3887,87661,418,1577,41093,67,53
3353,7566,1953,2846,3563,488,752,1341,77,41
8498,1832,1361,1449,6954,273,1690,2992,66,50
6915,3513,2175,4433,19722,1396,949,3488,80,57
3360,2600,2581,4119,119552,379,1389,6025,100,66
2261,3522,1858,3301,24353,831,907,20529,88,47
2867,1652,1174,2344,8299,552,1324,4856,91,34
6606,8656,2355,2252,171091,585,1330,10392,84,34
4971,1477,1463,2960,120235,621,1131,15684,69,29
13621,4686,1600,1364,13928,498,2364,8518,66,48
4230,2894,2002,1372,4048,452,918,4369,61,34
1422,5127,2893,4398,23811,311,3654,17246,69,30
3585,4670,1401,2783,14627,487,2084,8771,74,23
3939,12119,2881,3390,68018,491,2757,15765,81,41
9072,9791,1939,881,11679,368,1475,7913,69,50
4329,6319,1719,879,123269,698,1221,35299,54,50
7233,5426,3182,2175,12398,900,767,5816,64,54
11468,1519,1207,2497,8419,545,2051,4655,61,60
10905,4725,2604,4741,15092,451,1345,24020,60,48
3407,1349,2814,2922,19211,807,716,4118,87,53
4863,6597,3453,6902,10589,699,722,13564,84,44
19779,20069,4722,14825,243140,1077,2793,25518,87,40
11026,4511,932,1701,70305,917,839,13580,77,47
4643,6878,879,3630,95793,533,767,54934,35,37
6921,8551,1328,2663,5058,722,1230,12112,21,44
15544,2817,2098,1674,5782,272,723,1491,27,57
4638,10754,3219,1725,3108,627,1358,5664,47,61
6933,7301,1173,2902,8404,671,846,50108,53,64
3668,10518,2314,6340,161940,661,1197,17535,57,57
7999,7248,2136,1039,21843,1265,1287,5891,56,51
2708,2817,2025,2008,24348,379,1179,8408,56,38
18589,20979,3018,4283,60503,1244,294,12022,60,44
9795,1316,1377,1691,5995,249,707,8118,54,40
22341,8020,844,2027,109040,382,2595,11066,29,56
9930,983,3128,965,7173,780,859,5149,53,78
4540,20255,1449,3392,138055,623,1177,23543,44,69
2447,5450,4919,5237,14112,495,996,5686,87,54
