alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
351001,113181,15049,114569,531589,42535,16464,400603,0,0
5704,1915,6676,2947,8355,539,749,11411,0,0
5895,3184,2136,3769,18160,453,268,21161,0,0
11274,4652,1449,4783,9100,457,874,5543,41,53
36686,17489,18889,11007,148207,1026,4175,38704,50,57
2552,1292,1812,1775,3213,325,876,4179,61,56
2727,2837,2408,3861,22245,984,1609,21103,64,41
3561,695,1229,2934,4891,548,468,4072,69,24
2428,13725,1701,4274,55962,363,480,25683,53,27
3431,6145,2742,2557,35773,386,1040,11519,54,44
4503,8741,924,1176,16269,443,968,5072,48,63
4103,3012,1925,4816,13240,631,412,18769,54,53
7703,4196,1426,1638,995,563,989,5726,51,66
16008,4564,2950,5699,79147,874,969,31042,53,50
11816,12627,1060,3061,15747,559,1149,6989,41,61
4134,4213,903,2427,16558,173,962,3455,41,84
3951,8907,1490,3134,11386,349,844,11239,40,77
7047,5518,1744,8686,28921,535,613,16428,40,75
11707,1476,1892,2575,12217,439,898,16109,44,54
13428,5719,2612,5634,9124,401,1861,14858,44,48
9270,17801,1243,3204,15097,545,399,5449,41,66
23501,10533,1069,2895,7950,381,736,6829,37,93
2947,1242,485,579,58264,63,190,7752,34,90
2390,2049,3643,3299,22652,468,882,19133,38,66
21059,33176,12337,11119,542518,2075,7032,185171,41,30
11848,2890,1105,1407,7260,513,373,6995,47,21
13111,9499,1014,2186,117114,430,417,64347,37,14
11369,9711,2194,1216,19953,114,1327,14293,29,41
10039,8311,5873,4361,48542,276,716,26232,37,51
6436,10441,2019,4150,23580,460,414,14200,38,43
13412,2042,1725,1276,59540,422,599,26002,47,51
12234,3141,2283,2690,130463,363,687,16090,47,44
8250,4224,3526,5433,11794,250,1649,3847,50,54
1684,6702,1985,5455,18150,683,927,15382,51,41
12045,9157,1572,1463,17953,1035,508,11538,53,54
4582,158,1724,1168,4521,619,792,10882,56,44
6044,1167,1253,2377,7235,366,1479,4907,51,41
3725,244,1156,870,31687,159,459,3823,54,51
8433,7326,1291,2539,14478,1157,1585,3033,56,57
787,4426,3568,1633,43781,398,1840,49291,53,48
14651,4114,1585,3988,49120,707,1488,14327,48,53
5074,5170,2400,1097,10435,563,689,15567,44,53
47180,19504,9787,9987,1685283,796,5899,39703,48,44
8574,1743,1468,1763,8483,205,1492,10833,48,69
2907,2418,780,1540,1962,396,814,5857,51,64
4027,7489,2815,4053,79902,448,505,16893,51,63
6333,916,1327,2173,7006,976,1692,4252,53,60
3200,7717,1905,12350,31603,709,1394,12161,54,53
1756,605,941,1647,187043,377,645,50763,44,29
8284,1791,1394,4353,28618,672,984,8450,41,37
3766,9705,1303,2300,45174,202,825,35215,30,29
6406,5234,1299,1964,5336,534,703,4648,30,47
3623,4668,2626,1137,5899,349,515,10001,47,70
10610,10776,1040,2312,44530,683,389,42026,37,67
20211,7053,1766,2400,9012,179,477,8336,40,84
20120,5133,1495,5242,35838,789,361,19231,35,81
2984,8908,1597,2245,23402,277,1621,27181,24,77
19213,7343,4183,2024,8083,394,1058,5449,40,91
8842,2022,1631,1921,19457,980,620,8137,43,83
6802,7804,1335,801,9627,468,897,8874,47,87
7478,1770,1781,1860,57770,615,1329,8193,53,94
28210,3910,2247,4405,8011,509,405,6865,43,96
1802,4391,1604,2860,4476,526,442,6412,50,88
15178,10302,2375,1858,20351,1450,768,11891,47,93
3263,2878,2874,3709,16146,437,1104,28037,51,77
18258,7056,1093,2808,22907,485,1407,8818,44,70
8348,9132,4370,3524,77256,726,890,46915,37,75
10521,3235,1013,4084,8148,609,813,7743,30,84
20206,5485,1715,1141,5635,210,1336,5717,37,88
48068,11389,9357,22413,564188,1553,7503,41802,47,84
6390,16998,6548,24138,193592,1889,2876,59431,47,81
17811,8478,779,4032,8168,385,951,7002,41,88
17881,9721,2022,3443,4803,560,498,23175,40,78
3660,6122,1321,4651,5214,652,833,15170,35,74
10753,3863,1827,1711,13818,563,356,3970,37,93
17747,2143,1241,4572,22474,240,1075,10514,44,67
6838,10439,1995,6092,39896,182,1290,22772,44,69
14578,2518,2172,2305,6055,189,1785,13066,50,74
4332,1174,1515,3175,23278,363,605,10028,54,69
5989,2753,1085,581,7219,285,813,6710,48,69
8903,2081,2901,9131,27137,678,1111,34797,53,70
9591,4075,1811,3303,78295,408,627,41323,47,69
15804,7151,1936,4325,3532,460,1930,16134,43,70
10089,3669,1764,2419,35544,354,467,11123,43,60
6021,5222,1729,3635,55573,847,844,16515,43,67
12132,5551,734,4269,10531,425,837,5891,43,84
10365,6903,2596,3523,13908,437,1613,20086,44,80
8684,3600,1320,3356,9445,627,1676,13932,43,77
20895,3975,1808,2855,22955,305,632,1833,43,94
4898,7518,2183,2330,3402,451,883,8709,51,88
6870,5976,4881,6743,38651,365,627,23259,57,80
6083,642,1224,3764,31725,310,1010,50493,51,64
7280,1741,803,1902,14757,340,902,5043,50,53
9910,49490,8424,7785,383758,1831,3346,113405,44,44
5887,2572,2638,2044,2865,229,1050,7568,47,53
14273,17666,1202,2080,3401,519,728,6562,48,83
4868,2243,1473,2283,9563,497,1357,18407,48,70
5286,2202,1340,2216,3933,409,1234,9593,41,75
7434,3341,949,2487,56031,420,1869,19540,41,54
5993,3828,1841,2397,2248,346,604,15551,43,60
1927,3597,2058,696,18289,223,894,7788,53,54
5041,2305,1034,991,7563,658,458,4535,54,61
9924,7773,1242,6244,28891,610,1308,14790,56,67
12352,3543,3075,4761,24018,336,839,21127,57,67
