alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
29855,39366,12936,17944,417582,13684,5866,34455,0,0
7892,5939,2753,2533,7408,481,1072,3145,0,0
26755,49951,7661,12467,64043,3770,8231,153254,0,0
17071,4961,5023,2890,58766,853,2511,66877,0,0
28614,46603,4174,9102,19313,4468,5086,14754,38,53
8563,22069,6316,17981,70633,872,2098,98652,35,43
5896,9736,23785,25587,13475,3203,10867,29760,57,34
20009,19053,8231,13742,5165,2821,4236,24127,67,35
448,5745,369,743,70658,146,239,3653,61,27
16793,10365,4400,11850,1017370,566,1326,116989,54,26
1383,2751,1320,2919,180617,2540,2306,59806,17,17
44934,39251,25250,14619,64552,42997,56226,322685,8,8
3135,3522,2545,9444,1504,4520,8518,14550,21,1
4698,7159,3896,4592,16481,1836,3898,6300,47,8
3557,6524,4026,3936,19930,2136,3149,30852,64,20
29046,7973,13566,15123,1592,1681,6772,17856,81,29
2962,7319,8030,5800,44524,6768,13180,66205,81,24
4225,2101,2275,2464,2507,471,771,4050,80,23
315,3038,1916,3496,110715,294,447,51298,66,13
9657,7839,7805,10986,26392,1102,4166,17047,67,17
3035,1608,2918,2514,17074,1944,2403,14952,64,10
14371,878,5196,16109,14402,1170,2972,23795,81,23
14709,8266,4280,8334,6235,1662,4835,19721,78,29
7253,6208,3566,15732,27781,2062,7924,6877,64,38
23230,38508,11607,21326,542904,4623,5404,87948,57,43
26506,59374,11900,42467,1212241,9369,10108,355695,27,27
8149,2321,5271,1126,4264,965,1371,6159,44,34
17808,16977,17736,6200,38057,3530,5303,21377,69,29
6966,10150,11156,16258,26809,3565,6480,15192,84,37
5931,3679,4939,5649,29467,4581,3800,60502,96,30
572,9049,6327,4389,33161,4003,3556,45420,84,17
9482,12481,10896,16209,187916,3757,6252,38138,77,11
1201,2067,2263,572,5020,628,337,6226,74,10
9770,20415,12395,17059,8134,2129,4631,23810,88,21
4321,11332,11733,6522,12502,6742,6243,21226,97,27
11191,20721,2944,13027,259730,935,1741,69037,77,29
758,3093,2367,1376,18284,628,745,3004,81,35
27143,29809,12113,10542,28041,5977,4887,85948,57,34
4409,8246,15318,8414,7201,1254,6110,10263,91,34
10863,20736,3942,7594,29096,3583,7548,11340,75,40
6977,8918,8898,11662,27108,5218,4253,23456,80,40
7673,22625,9984,12350,15338,3728,6126,14349,88,44
6816,13050,6394,1737,24381,2928,6184,43223,67,44
4175,277,2317,3735,83327,647,1464,14919,69,29
7544,7981,4189,8399,7394,1097,2065,12280,66,34
434,1390,1078,1898,62076,134,619,29250,50,23
4025,35974,12294,10448,161755,2608,4395,142251,40,14
86509,93855,87964,61386,1363027,24588,23116,284354,38,11
43781,30175,6480,50721,538926,4670,13812,33981,34,17
58500,50299,58308,50233,709403,16668,103932,420144,47,27
2683,3100,3915,4340,8286,858,954,5672,64,34
3535,3182,2131,4200,13481,3149,3333,8610,63,34
3578,21061,5548,11019,94464,1968,3787,35712,67,29
1810,1614,2367,3151,9912,1013,2446,2599,83,37
9868,8966,11210,8942,227044,5535,23437,25680,78,37
68941,43601,23789,103268,1136665,23277,28324,114505,75,37
8479,13598,8898,9891,15005,5074,19986,14411,87,38
10093,4353,5799,8550,22503,1487,3640,17431,77,38
4498,6451,4430,3930,17114,458,1749,9593,75,41
3531,6668,2207,4800,189491,467,1341,10698,75,43
630,1544,944,4935,15078,344,1632,6902,64,30
5690,2253,6758,6356,20642,2525,2652,20184,69,26
22559,12859,6737,5190,12502,1725,1852,11978,66,35
7861,334,7358,2671,25186,2134,2817,8806,81,34
6203,15285,13177,25115,42957,4059,5692,18214,93,40
28371,20047,10276,10229,526772,2268,4418,17383,87,53
9896,4122,4746,7786,4825,2674,3997,54654,78,37
2669,8603,2870,2148,21290,742,854,12136,64,40
1713,1371,2969,3630,87996,797,1086,11307,69,23
26158,13243,10290,12276,46764,5616,7115,46598,77,30
12123,50559,4904,30815,951654,3539,6352,168865,56,24
696,1884,1335,2091,98853,229,204,14480,40,16
12849,7804,3161,16249,44827,1517,6461,31216,26,24
15881,8303,8648,6031,25024,3694,5142,11334,35,29
2844,3428,1873,1371,2798,530,687,2399,56,35
12112,4443,10785,5937,19622,6871,4046,31842,70,34
826,2822,1236,3058,80910,467,815,30049,50,14
866,995,1471,1161,101125,74,369,10168,57,20
1532,1285,1952,4226,20050,695,2471,28927,44,1
6549,17642,16814,8246,22902,2633,3430,25563,50,1
16569,13493,13852,10433,48118,3296,5415,40635,67,11
12086,3284,9771,18686,47379,2718,6399,44328,70,14
2838,896,9731,9273,82711,3291,5756,12090,96,17
1177,935,1625,2044,8244,554,754,9200,84,10
12563,14212,8009,8648,42555,1938,4387,78306,77,7
8363,1983,7806,19531,11698,2484,4819,18012,64,13
4098,9120,7117,11445,676235,1745,3519,29189,83,20
16254,15877,9198,10800,334027,1783,7622,27133,84,29
12348,267,2994,8076,46449,2208,3861,17067,74,35
32836,7794,9283,14729,29529,2175,2968,24972,63,41
4130,1125,2013,1803,41457,358,1329,31897,51,35
18617,13477,8241,28039,749255,3572,8513,242333,34,20
4649,3883,2777,5189,61693,503,1723,77882,21,8
4798,2680,5272,4079,14163,1843,2217,14465,27,1
16256,65394,14871,11681,717997,8607,10231,536626,60,37
3579,20701,7500,10656,16552,2317,5537,40105,50,38
3069,1664,2187,4021,109996,817,1968,11378,43,26
9643,2486,6156,27602,663007,1213,7281,41744,41,10
9790,10063,6204,10461,5398,1759,3898,40807,56,17
7928,1538,6866,4553,23294,1578,3460,21399,63,14
4156,2326,3464,1141,22768,252,775,16040,64,14
19465,12793,11320,11678,2170081,2349,6143,558861,44,8
4850,26815,5706,13524,26583,1355,3152,18336,44,21
7536,16445,13782,6375,495695,1859,3009,30379,50,24
9180,5632,7244,946,44190,4834,3326,28293,74,43
18345,18455,5952,35975,8401,2863,2737,23942,67,41
10022,11925,5558,4607,34910,1340,6600,33068,66,37
15513,25647,5898,6192,128857,2718,7147,93328,47,37
6024,3722,5161,11066,23925,698,335,8943,51,37
2029,3719,585,1393,41595,215,225,8019,41,38
21928,31647,12199,22932,1706608,2931,9947,571033,23,23
7704,2279,2935,5193,71893,3747,7498,15083,35,23
6578,3985,3158,2392,17783,2620,1772,8743,29,27
56531,8214,15124,34779,564976,4593,8400,163094,34,21
2156,6536,5065,5569,29693,4543,6791,22163,56,30
8402,10897,12042,3821,14100,3272,2429,3300,83,37
2912,1604,1278,1049,2044,484,452,5206,90,43
22814,5571,9375,4406,25304,1252,2058,67464,87,44
17642,4078,6011,7251,6068,1232,4554,18919,75,47
4426,5391,1874,4173,86848,1357,1502,19472,51,38
4312,4452,2084,7526,9975,1097,2307,26378,44,30
772,214,1444,3058,3228,539,1123,3199,56,21
41883,9544,14342,23825,330933,1857,5199,90514,53,17
2141,2851,1160,1436,21031,240,621,2578,63,24
2889,14684,2498,5363,17511,968,1666,8546,67,37
2280,1523,2511,4466,56759,553,905,12857,63,30
1313,4568,1678,1632,12810,882,1274,5127,63,29
16108,12836,10150,6372,12763,2019,3731,13877,74,29
16644,17132,3509,17709,7385,2453,3261,33380,60,41
13422,7616,2783,7528,14820,597,1055,18026,51,51
30051,22804,18963,23924,62856,1319,3991,12424,61,26
5863,31357,6951,15638,389129,2557,7269,118716,47,37
8039,46366,26877,10691,635671,18329,18534,137550,63,57
3385,4569,4085,2286,32990,1579,1435,8797,48,64
1971,1907,5592,9393,6354,1222,1302,27877,61,61
10649,12654,2959,20725,20310,989,2337,11745,51,54
4352,9490,6395,14703,9643,1175,4419,10387,56,51
12980,22198,4835,19180,34165,1358,1503,143699,40,56
3766,4834,4615,3605,5950,586,764,9304,43,56
6859,38778,5740,12142,13088,4847,3937,28190,29,63
5828,3051,4558,11009,13569,1704,2942,21707,47,63
10974,2631,6604,5143,1793,1202,2313,15402,38,67
7945,9184,3691,8764,40564,1399,2814,14070,41,64
6161,24290,13373,17843,687977,3926,4502,128282,37,64
17023,16240,7310,37064,6159,3908,2685,54290,53,56
1574,3011,1936,665,1368,539,712,5574,53,56
135177,62702,71631,47581,3580835,42683,81793,496650,51,51
912,2914,8187,5625,77544,2045,4379,13489,69,50
7916,10176,8483,6478,171663,2809,7060,39481,75,48
2756,1548,3658,3414,1382,3202,3294,6318,80,44
3850,3641,9153,8673,8638,6537,9724,31342,88,40
61174,48042,34862,58224,628695,6982,5598,325378,69,44
3960,8087,2890,2827,493325,401,957,54443,56,40
16018,3171,15677,11960,17796,2707,11289,44858,53,40
50588,53300,13570,8736,1341107,4406,17338,168218,37,48
13107,8245,8930,5374,565114,9672,3264,49980,41,50
13467,9691,7549,10971,12130,1898,2649,19078,56,57
18585,7368,4736,13136,20777,1942,1972,24061,47,63
8706,2326,7383,20857,64816,3748,3746,48025,56,53
8673,17585,6433,10830,46864,1246,2369,17415,57,57
6427,2434,2801,3441,76928,1967,1156,22800,47,53
11825,1651,5906,12379,35486,3457,4671,9877,53,63
3338,196,2962,1771,8586,2646,1379,5850,61,56
1332,10982,12805,14265,19834,2410,4016,14794,81,53
18944,4522,12604,12024,6207,1899,4260,10151,96,57
18744,7357,14443,40732,562717,1210,4598,39698,94,53
7285,4861,8051,13099,31203,2182,2859,16252,94,53
17936,10223,8331,18702,12174,1871,3280,23250,84,57
15520,2004,4527,14746,34605,2456,3826,23052,74,54
11026,9371,2932,8419,48890,262,790,86721,51,53
2894,10764,7026,4238,36706,1040,1834,5894,53,60
7467,2186,5014,8160,17767,1429,5380,16394,54,56
17118,4760,5793,14051,33932,5461,6188,22025,56,56
6398,1091,4072,11443,6237,3239,3654,32990,69,54
13692,6281,5154,7640,16249,801,3435,19953,60,53
9002,5414,14354,12630,54597,3142,4303,22971,67,53
1504,739,2449,2080,8079,474,1196,7209,74,47
31451,30733,9000,19425,21005,3816,8624,18576,70,63
13634,40430,17884,19485,22858,1244,2448,17235,67,70
23441,11502,17934,12451,6379,2229,6144,24864,69,81
7851,11011,8633,11396,8417,3345,6648,25680,77,78
2535,18514,6929,6634,36053,2325,3341,21177,80,70
14217,23919,7245,7598,12962,1879,5442,15159,64,74
22393,10964,6863,29390,31062,1625,6316,34545,56,74
13035,486,4536,18500,28029,1061,2922,28185,53,67
3372,3666,3579,3058,1291,607,1039,2723,63,69
7736,19590,3967,7991,17481,985,3539,7063,61,69
5643,4194,2083,4883,12060,608,524,7218,64,74
6125,1427,4524,12192,19016,1865,2217,14997,69,70
11290,12621,3584,4612,50038,3256,6456,14405,56,74
5742,5339,14977,10837,8412,2285,3258,19715,70,60
3906,3148,13560,6381,35350,1379,3043,8532,90,51
4597,13204,2823,3380,23945,1263,1201,13446,81,63
8111,7218,9351,9386,24438,1292,2976,15693,93,54
16170,8314,3508,9888,11344,2324,2679,18635,77,63
8089,3191,4750,10441,18701,2612,4350,23688,57,64
11676,1983,3234,5671,18718,1396,1680,15888,60,60
4499,3005,4113,5383,16845,1269,1877,46828,47,51
14705,2862,4600,5224,131068,979,1649,94657,38,41
8193,3102,1372,2410,5408,1430,995,7969,30,50
14454,2535,9149,10270,15722,5279,3315,16679,40,50
6017,16922,2573,7023,67400,1863,5346,5256,41,67
4287,5509,4435,10491,16775,2097,2106,40757,50,67
7417,1106,5356,3957,9691,548,1070,17553,61,60
491,1386,1780,3401,14991,261,649,9866,56,48
12603,4550,9647,9074,49531,2509,6491,37111,63,37
4788,23385,7711,4882,680622,1810,4225,68186,63,41
1688,1218,1222,2094,8719,123,541,4153,61,43
4596,3497,9612,5449,8928,1698,5247,11726,75,50
19726,19617,12647,9799,309762,3747,9444,37812,74,54
4094,32940,3238,7325,9522,1262,2733,14702,69,66
2249,5429,8638,8516,101436,2133,3350,3661,84,64
1943,3361,9318,11988,547508,3630,4695,56978,70,54
6976,4953,2890,3655,13056,972,2200,8689,88,48
6909,7630,1982,5075,9059,634,382,4988,66,57
14144,12345,6574,9881,17229,3149,4540,39915,61,70
9192,4986,4391,4639,39618,1143,1996,12066,54,74
9884,3967,4896,5303,144902,743,904,33600,53,66
12491,8290,13122,24850,1352212,4126,6455,209976,44,47
2710,13534,2598,6585,107843,439,910,34607,40,44
20432,11139,7491,8221,22611,2499,1423,24671,48,48
