alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
92879,65295,11299,41229,256870,15774,6837,128331,0,0
6291,4506,7633,13890,456648,3212,4541,34753,0,0
19297,3866,8931,9138,652926,3192,3620,28223,0,0
17221,18910,12124,11196,234767,3175,3375,126414,0,0
14983,19984,3905,13827,112980,625,1525,73824,30,48
7817,22652,5830,14233,32546,1926,3348,17866,40,70
22709,19211,3262,10083,289071,2527,1867,57605,27,90
1176,2255,8017,10478,99592,936,1029,42882,41,70
8330,15693,14631,26399,476406,5992,4487,65994,63,66
7333,1659,2738,1085,7872,1127,748,6244,67,66
16787,10976,13410,9493,121503,4227,3616,28904,94,61
39956,136824,11427,41398,610524,6735,8840,410828,66,90
8468,27621,6819,5136,75181,5262,7123,54734,50,93
2891,1773,2726,2098,37235,304,458,71070,23,60
12286,13539,12751,11784,1082298,4939,5902,159925,40,47
10437,1200,3461,13734,15243,1033,3114,27813,35,37
7029,2265,2720,5798,153498,1826,1575,25113,35,26
2542,2393,2067,2777,16222,832,1230,3077,61,60
41565,13465,9494,50576,94270,4074,11694,77279,54,84
53653,118240,15054,18121,1555975,2028,3523,691829,37,57
3845,4821,2065,3392,10853,652,830,21691,30,54
15603,9226,9968,17073,632109,3706,6615,222110,3,51
691,2075,768,2229,189291,205,351,18004,41,30
25586,11946,20073,38880,77202,1842,7575,174042,66,48
11413,7770,4742,20558,1075418,1913,7399,31552,53,53
4168,6431,3879,9420,118495,1259,6060,47776,61,57
13101,6893,3102,20233,145521,964,5300,20338,51,56
9886,4984,2393,2454,136918,470,2125,14945,48,80
7482,3760,2455,4320,493242,454,1688,9822,51,88
17452,15648,6512,16280,18635,926,2446,22978,57,100
42395,23247,8186,17443,553519,2174,5484,29208,60,100
2504,6746,2222,2183,3351,341,2265,2925,69,100
8057,4309,33479,16892,74736,3145,4959,12402,87,100
16108,7252,6829,9820,42893,1511,5723,11478,84,100
4265,9393,8599,11900,11714,2452,1653,35470,87,78
10967,11424,6334,8194,1165,2203,1834,12234,61,90
20476,29143,6817,6845,27185,1454,2042,73212,50,87
10151,3102,5993,3104,8408,2204,1097,24770,48,90
15984,12888,7412,3690,320071,1719,2549,32970,40,90
376,790,1611,2306,9215,345,1772,4059,44,66
1991,978,875,1430,1233,150,431,4325,51,63
4138,912,1110,2254,3117,1001,1389,5675,48,69
9141,8571,11984,10910,32048,3101,6420,31395,54,57
3291,1423,1511,1513,49270,198,259,30439,37,57
5620,1279,2044,2492,18891,527,1416,2742,41,66
5430,9819,5820,23844,29600,4890,5479,58520,38,51
