alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
15515,8412,9656,9203,624149,3554,5158,31500,0,0
8395,50158,11843,15502,90775,2040,3281,52711,0,0
11511,27658,9354,13287,45895,3607,4983,51158,30,35
6923,15139,14592,9501,539933,4430,8219,13099,54,34
42413,8756,12027,26823,1120860,3889,4781,72628,38,24
15438,26016,4567,3239,1355332,502,1789,121031,20,7
9275,1931,5355,9597,84632,1359,2330,1902,41,14
3493,5730,4891,6044,108111,769,998,66973,51,4
6212,5921,5993,13629,100160,1661,5617,5417,90,29
7615,9463,3817,7455,57629,614,1084,42883,70,30
5854,3139,2310,7922,171624,785,1706,26303,43,24
20775,29329,7798,11332,151996,2596,6117,18351,53,66
23114,14745,10678,22196,521306,16926,11905,25296,41,69
11444,13616,4440,13992,99701,2097,3074,9950,53,88
7967,3094,5627,12847,42839,1524,2602,20457,66,88
8811,6322,22371,15804,50306,1463,8159,25614,87,57
33046,14320,14770,17605,552622,10825,5475,120277,80,27
26345,18574,10164,19783,1424187,3035,6819,154550,60,24
1035,2173,1495,1881,20480,319,591,9356,38,26
29238,27070,6799,10650,106433,2450,2054,47148,20,40
1155,1863,1167,1864,11534,204,1188,13027,21,40
17095,18787,7804,16700,37920,3623,3240,29613,23,57
65085,37692,21983,51838,1236792,7252,18405,474071,14,29
27491,36105,2369,4827,51015,6252,4969,31252,3,50
14760,8246,1516,2593,302196,913,564,176501,1,44
5906,16790,3131,7375,123327,411,347,158903,1,21
6772,1702,10657,5784,66150,525,837,46919,26,1
2846,5083,3068,5557,25525,478,3372,12311,54,1
3327,202,2850,1153,18681,623,1705,1595,77,13
20519,47943,7486,13468,995347,4266,5790,111980,84,34
3440,8537,1444,3300,18117,742,637,10686,78,63
19748,45557,3953,9147,273627,3799,4873,140648,47,56
2254,9133,2794,2307,21349,353,821,1241,61,77
214,209,728,1707,107021,256,265,2640,63,54
869,6431,1429,1195,10741,540,477,4380,69,61
2007,14384,3120,5099,58383,1888,3679,11044,87,77
6795,16337,5094,21569,30120,1229,5601,14063,81,61
3884,5135,7514,5369,19433,1688,3271,7804,87,83
4658,8548,6904,7602,45634,3653,1784,53327,84,56
1391,3899,905,1421,14777,406,1662,3477,83,56
4243,9332,5721,6243,32039,5920,7895,8382,91,60
11844,6729,8860,11518,52460,886,8155,38434,81,56
7597,10060,5506,10150,122895,398,2177,121425,74,51
