alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
6802,22993,3272,3879,77111,3023,1719,22835,0,0
5811,17434,1632,12702,83414,2964,1567,30561,0,0
7729,2111,2981,9116,38509,1294,1475,14252,0,0
9544,13050,4194,2941,109100,1208,2500,13450,0,0
5943,34212,9865,4265,36896,1684,6427,136908,41,30
4754,10150,4738,5202,8145,2340,1627,10519,61,40
3855,194,3641,2401,37784,1973,3033,11977,100,34
3214,3918,6700,9735,4652,641,2306,3806,100,38
8933,11723,3267,2545,10264,1137,1852,1660,93,66
529,374,1086,752,99402,462,362,2648,80,75
3025,12733,2701,5369,8189,966,1129,7590,66,75
23085,23862,1585,10931,38850,1638,2128,52447,43,56
32159,49522,18227,2737,1075861,1533,11886,86115,44,47
10410,10420,3450,8133,35767,1545,1607,7526,35,67
5205,9989,3597,4706,6928,651,899,8842,38,66
5663,10996,6722,11056,99038,2510,2051,68277,56,50
5270,5491,3513,6851,5230,1846,2453,12283,60,43
4156,4607,12871,5686,329937,2215,7638,30622,69,20
5841,12251,4157,2263,797,590,2223,4679,70,27
4962,16132,8112,2663,4527,1437,1331,7026,87,51
7513,3412,1745,5437,1945,300,1496,5385,83,60
10225,20296,11503,12272,850494,2396,14052,19734,78,78
4471,8394,6221,4667,7035,1339,1409,16131,80,61
50088,8560,7702,9272,677268,3429,16829,73920,61,53
5250,4529,3463,6588,1815,1432,1075,6677,67,47
9319,3643,3351,4967,5533,641,1966,8269,64,47
8502,842,4128,5379,14638,457,2720,11755,64,34
7945,10777,1496,5261,117769,974,1606,44491,43,24
31243,17329,14857,30179,802746,7192,12910,151227,26,26
8481,4389,1126,8073,114554,680,1425,24992,24,21
21076,22717,16647,11920,724680,3610,4518,55548,23,21
17076,3454,20631,15002,805297,4929,6878,223990,38,7
15979,6315,4849,2407,11424,716,2421,4560,47,35
13035,816,7233,1043,16093,2290,2030,4548,77,53
38922,16401,14138,44091,639322,4164,9263,99855,67,51
14814,6089,2834,6583,70119,1738,3363,76342,57,64
6844,6826,3251,4474,104364,1668,8762,69638,41,37
60294,6538,19681,11606,742825,6144,8435,104933,26,27
5265,2025,1827,2981,71912,241,823,19974,23,24
13234,2320,8620,9278,111344,1336,1886,46127,40,24
1329,634,767,2281,125386,823,411,5524,50,27
3545,1543,3075,5179,166753,1739,3769,15978,53,17
19796,16872,7700,7045,69272,868,3927,53008,57,24
1443,11590,7378,5484,40107,2199,2710,39543,57,24
61838,32020,25848,32490,495172,8700,11905,150706,60,34
5120,9026,4670,3806,42791,772,1388,53383,50,34
8306,7162,2316,3328,43785,1568,3799,21665,44,35
6152,4837,2654,3943,23379,594,3934,14608,41,43
13606,12314,5524,4251,14191,2036,3276,10049,44,56
32241,18728,1931,1802,898555,3351,3961,46769,34,75
39374,73960,22636,31038,3373625,6224,30033,137925,37,75
5626,10348,1868,3071,712267,641,1299,21321,27,78
1913,3121,1072,1152,76507,284,1160,1411,29,78
16293,12141,10031,7541,1608937,5828,15726,103745,41,60
14365,13548,3855,3332,55489,1166,2470,14556,43,69
9694,13339,8084,3599,1070997,1812,5980,141007,43,51
1725,5600,6471,15493,75173,1145,3770,16149,48,29
18610,4204,5281,3858,21955,975,1609,30212,44,40
5548,3347,5078,1131,47066,1333,2395,22470,57,48
12428,3924,6425,12848,98037,1658,6210,17761,53,56
1748,1320,957,1409,108412,428,899,4733,63,44
117821,3186,12559,12693,1479579,4401,13380,82903,56,51
2606,2097,5260,4207,7699,1510,2403,15619,63,47
27601,5745,32054,42696,348306,4683,26177,226191,61,34
87412,19724,13427,42389,346272,5656,7349,54763,60,51
14202,12683,4332,10448,55766,1816,2346,7558,60,64
6079,7009,4494,4100,5668,1662,1438,4572,66,90
5753,26782,3305,6434,204964,491,1690,63006,50,80
2924,759,4091,3584,6219,2700,1132,4457,63,63
9546,3202,3873,10112,15482,614,3639,24704,54,50
8394,7892,3974,4775,574388,1173,2528,18631,67,53
