alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
17248,6762,3442,4825,112597,3135,2264,44784,0,0
28455,61709,29704,13170,1881281,8094,31066,325486,0,0
38238,42642,9502,18713,316829,7570,21161,51707,0,0
16684,30164,9769,15856,1195588,1458,9774,51626,0,0
20103,32331,5206,6808,273435,1398,9213,118302,0,0
5482,51560,4101,3496,221535,3303,4039,10012,48,53
15327,8901,5380,6115,604693,1585,11895,160078,38,40
82449,48411,27574,34046,2027781,18822,28872,413840,40,30
35931,75577,26110,13462,2101701,7806,11941,182546,57,29
10293,37928,11571,42442,973929,7940,15723,278715,44,3
63418,23700,20616,7952,2875753,13843,22499,151490,90,23
3749,81290,19145,47295,1335054,5798,23533,258026,77,17
7255,36255,8564,5663,776055,2900,7393,96235,87,26
47816,34491,30703,34886,1962815,33221,30786,76676,87,24
37118,21330,53693,16963,434668,6794,25502,90266,96,21
46962,14308,13862,16939,535572,2762,7365,162409,90,23
18925,31492,20928,18130,761620,9457,7808,104764,94,23
116070,62846,28208,133247,2592132,20156,51063,197402,47,24
6564,912,4114,4116,113089,782,6280,13644,43,11
16427,59043,29818,17775,940209,16137,41305,325800,63,10
50992,12791,28109,41184,1003927,5354,82810,273525,75,8
5450,11202,8906,8532,276644,1674,4109,69094,69,4
26767,11698,8359,10008,610407,3613,6481,115294,51,1
8361,14236,5296,7472,1592339,1959,5062,171347,41,1
19610,54974,29138,19468,776476,4160,15683,96546,30,7
1773,15981,3125,2083,112621,1371,3502,40062,23,10
37690,74710,92058,118291,1391152,29741,127765,523803,47,11
5132,5663,2213,4723,501209,2372,3304,13154,70,20
20495,54110,21809,10537,1767307,7261,10633,128191,64,17
7297,4600,13045,3912,254853,1979,7236,74962,78,10
26826,26438,8752,11761,945869,6462,10427,75266,67,21
8208,33657,15015,8426,532719,7857,6855,221334,61,11
925,3017,495,644,38811,267,818,8989,48,10
3837,10817,7977,17717,615138,1310,1988,13622,57,17
16974,15482,4115,6014,2082717,997,2133,45544,54,17
7247,15809,15501,18016,80246,3550,4638,250412,56,11
68180,54799,102524,57020,889638,28841,26340,89048,83,13
33424,52918,22889,15011,2910474,11492,21487,58051,74,21
82961,44860,19597,40448,829884,4526,32676,125714,75,23
1328,831,800,1424,33733,248,1188,15757,60,21
35087,20445,15435,14341,2312575,4405,17844,114558,63,14
14855,4933,2732,2527,26758,819,3912,27326,43,16
30220,41502,31165,16722,126186,3270,13435,116112,48,16
6681,1582,8562,4126,200052,3127,2101,47063,57,20
9216,11928,8273,3193,90077,6861,1503,61531,64,13
6052,6962,7430,4128,1324888,1827,2730,47744,60,8
7154,4532,6798,4839,611570,1667,2890,11473,80,8
26676,5624,19024,11736,1395736,3685,9644,492597,61,3
8045,16025,5346,1707,72084,1854,2826,8420,66,16
9924,39947,5498,16537,1147501,4739,5541,171430,48,20
12978,10786,12364,10936,1251749,1752,5830,72687,38,14
26773,48603,23400,29748,186906,8380,7643,129589,53,29
1422,1186,428,613,18767,224,321,6575,38,17
7761,4093,1628,3433,95572,488,6170,6176,53,29
11044,46115,22260,17924,1710246,35579,21395,151737,50,30
957,2210,1066,729,73965,584,1191,16377,43,24
1726,16243,4338,1667,133450,1005,1485,32277,50,26
13803,17977,4441,2910,649947,3873,3775,42202,44,23
59435,74052,35132,21448,1717965,4549,45580,345856,40,23
11941,13710,6187,5596,592814,2400,3232,146079,35,23
19191,20213,43898,30167,1766543,23332,33460,319764,40,10
30392,45475,24424,12847,559526,8624,26226,142257,47,7
4540,1104,2159,2523,73643,1908,2872,34439,43,1
4249,11967,9359,19036,983351,5336,29515,96545,53,1
14272,11756,5211,15301,460949,7449,11385,55677,47,8
6948,1777,6876,4659,125684,1204,2676,30195,53,1
12418,20960,19492,49865,1114813,13676,14413,134277,60,3
15302,19449,13415,13326,365918,1522,2705,89366,63,10
72279,39572,31071,14624,293774,16415,19512,123178,69,16
3718,5468,2880,2469,579316,2360,2957,34602,60,16
17618,57187,15555,22238,211474,11362,5902,198246,51,21
5394,7543,6069,16377,733257,5363,19630,134292,40,11
148198,134235,33220,111797,631203,13734,16714,194159,34,13
21079,19528,13722,5353,799417,8373,10786,40631,44,21
4459,7404,9559,4738,76027,2513,12075,50598,54,16
14553,16712,6475,10862,908114,1398,2539,24105,66,37
2519,26293,8145,5722,306417,1135,7617,15223,78,38
923,3383,1064,1707,42105,934,2607,4474,74,38
21822,33510,11717,7659,2278787,5203,6094,88912,66,48
46368,58344,17100,44421,1367105,22079,18612,159322,60,43
12856,1032,1864,2719,42596,430,1790,13240,48,41
43691,239050,40695,20351,685516,13738,16959,351477,40,43
62915,26590,38960,16130,525270,3533,20566,158590,47,40
2624,10827,2096,4436,25433,640,1711,25739,47,40
33026,100292,10732,35101,1951388,10832,29186,249356,37,35
99778,158214,28574,98564,1048592,4592,22278,221365,37,35
6277,5138,1978,2153,96633,452,1822,17401,38,34
4570,3112,2524,2571,587141,316,1573,17373,34,34
1364,1989,2542,2264,95884,757,1170,7893,48,29
49477,28804,14939,12195,746656,6124,11853,86194,61,34
11366,17709,3835,5843,537544,1217,5346,40944,57,34
5004,12479,9448,5247,214091,1977,5102,84250,57,26
12463,40645,47197,21357,1301768,11788,6526,116105,60,26
8756,3236,15416,7806,836669,3497,4475,79651,67,11
15567,29081,9646,19799,152388,2902,10952,121559,69,4
28286,23646,7711,5549,799344,2081,2514,54335,67,16
6931,10360,5604,6314,14847,1122,1321,3232,66,29
72750,17853,20079,9145,1079468,9222,6179,100709,60,44
8057,3977,4727,2479,51442,1586,1433,2727,80,57
746,8064,3553,10080,265469,2514,7586,29525,81,47
67138,7850,16952,16351,418436,6044,7242,118051,69,40
25929,8518,3740,6885,398345,8638,8814,38827,63,40
66946,30964,29519,43864,2235029,8449,46682,113976,53,30
9918,25272,1488,6308,1217209,859,3792,12527,41,50
4913,130,1129,438,105152,613,866,2995,44,56
2003,3751,499,791,67308,440,1107,24656,34,47
6027,5367,5244,6012,1425628,700,5573,80594,21,35
37470,50126,9302,16191,893610,11301,5687,127243,17,8
30286,25530,12511,18260,766116,3969,7113,120230,35,13
6794,6654,3912,2407,64662,1262,2669,67768,34,14
31703,28781,6916,4751,298701,4472,8746,126381,26,23
8188,4678,4179,8060,975884,8170,5502,96278,24,10
59128,268482,38974,45052,2805472,11135,26307,358810,23,16
7784,10673,8515,5579,391344,2979,7153,40954,35,23
1891,11219,2016,2507,54215,406,1057,15546,41,26
1600,25556,3145,11586,241699,2163,10278,135732,35,29
23872,25191,9309,5412,1301210,4552,5548,60931,40,27
