alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
166071,178557,22596,127265,505725,42511,20738,402204,0,0
5222,7030,7229,4492,18715,819,2912,7011,0,0
3262,3877,2474,3918,60909,3350,2640,30227,0,0
12072,1436,2338,5298,26336,1015,3428,19886,0,0
22962,37760,22733,128854,214650,4347,16971,146697,38,30
3381,2839,1296,1194,156446,115,1274,10390,34,41
2782,2063,11375,7768,40533,2587,3881,11650,53,27
18320,28337,13213,13687,1229117,6661,13396,207296,41,21
6131,2259,3603,6209,2840,1024,2021,2674,54,47
4621,134524,12416,15030,130454,9573,17370,21462,56,60
5846,8453,4614,4430,2027,4352,3067,2900,44,83
11240,10672,10461,11613,451604,2254,4789,48418,60,84
9967,20827,5699,2539,91422,597,3033,25869,44,75
19261,73371,21746,28598,64464,3410,8580,29782,54,63
6953,38378,3430,3122,33150,659,2649,6539,38,75
17759,1808,3206,6134,7216,1128,2780,8195,35,90
4616,1990,1188,1594,76550,220,159,2682,37,91
2525,6175,2358,4013,7240,988,1188,10967,30,80
6210,4999,5236,2820,19548,1588,1587,4196,51,63
2925,9530,4636,1387,93498,249,391,18797,54,53
73728,46742,82086,67053,190902,11186,36414,88658,67,43
12877,4238,5148,7109,59188,935,3850,30109,67,41
28055,9326,16389,8606,672282,5370,10748,77291,60,30
7903,6213,3089,5443,8219,271,2377,5946,60,38
1933,7997,2370,3375,10523,814,1437,3183,50,48
29198,5827,10741,9879,225694,3278,4438,43975,53,51
17586,15743,2440,5740,48470,1370,2636,77926,30,51
3887,3205,3660,5257,34348,703,740,2733,41,47
10635,15798,11567,44102,251929,3590,5210,102251,34,23
5728,13396,2855,4166,17503,597,3486,10045,30,30
8673,3843,3571,8065,12844,2504,2463,6977,54,38
7692,34070,3596,8804,271169,887,2978,51553,27,38
10402,697,5118,11381,23032,1101,3664,30560,30,43
263,1836,941,1792,35647,227,513,15764,26,16
7878,8200,6391,4963,5310,1006,4055,1723,51,24
7037,6130,5072,9301,241622,3240,5692,88121,41,17
7183,6806,4366,4689,665163,1273,1651,31364,34,10
23440,40365,26680,46784,1122430,18962,10701,39149,51,27
4216,3856,5588,5112,9522,3044,3831,13351,48,13
2687,10369,9341,3420,119418,2538,5640,21735,67,24
1950,3090,1306,1237,192856,276,655,1422,77,40
7485,8890,9790,4622,16212,578,1824,5443,81,44
4828,9202,4491,8495,217776,1271,5355,48030,66,40
7159,3141,4392,8221,62456,1567,9045,31853,56,35
62423,29113,43845,10438,1291517,10785,12181,177350,51,21
8062,7149,1454,9173,265295,1050,3101,66544,17,4
5461,8595,4449,10448,151533,3007,5899,13734,27,13
20713,26891,33958,55839,351712,11126,35908,142165,37,10
6448,2572,8099,3494,12736,3452,7912,4175,53,14
2358,1232,2921,907,217556,907,3188,16408,77,14
57705,38024,35883,49020,1427350,18480,10056,63760,81,37
6859,18845,6799,7603,122699,878,3117,2927,70,48
8149,7160,7194,5093,19530,2788,3864,5957,80,64
23314,26758,39107,76562,693391,5920,27420,671947,64,40
5894,2111,724,1553,26854,329,724,5732,48,48
12152,7677,9117,4232,46074,1944,6005,24635,47,40
18656,18267,15222,9461,818318,1236,4178,42349,40,38
8254,10143,2231,2368,2699,1001,2690,1932,48,78
58994,39915,17316,14590,826285,3953,13115,80283,56,78
4711,3482,3867,8864,9167,1681,3402,10363,56,75
5309,17596,10208,3076,11243,906,6907,5969,61,83
15574,1952,3930,2972,68673,686,4399,25517,60,64
4227,12910,4637,11359,19527,1733,5037,13320,64,61
38641,16017,41736,17815,524914,3048,14036,89015,64,44
3646,4494,3313,2234,98835,559,788,24114,64,37
11966,2657,8626,6005,16693,910,2115,4106,77,40
9337,18289,3096,7439,16408,481,3609,2718,67,61
1560,6106,5481,3680,6269,403,5160,6425,69,64
14786,67325,22219,20567,1336846,5425,5588,72614,75,75
106913,287940,62791,150767,950054,10347,30779,418171,54,74
65158,315375,28816,101189,2764785,16373,45301,196370,48,66
28197,9448,27847,11269,273858,35328,24606,37721,47,66
25097,8066,3472,2554,3711,1484,1294,5641,41,83
6749,9416,7959,5343,14540,1298,5571,12184,56,83
29723,30263,7061,16430,120483,1123,8726,29461,60,83
3215,5416,2959,6306,17695,1188,2559,7432,53,83
13018,8811,4232,10843,16396,896,4151,12956,56,67
15013,16779,9616,3668,5484,1465,3745,4014,56,80
5648,5763,5300,2606,28974,727,4022,13789,66,70
3733,13876,9263,3504,6239,1463,1903,10183,75,77
23006,86840,29455,22413,16513,6425,13969,37049,80,81
20991,19134,8252,14484,16298,1181,11671,13215,74,77
1964,3101,2802,1078,197836,835,394,17042,66,66
3490,9332,7647,6968,52858,1526,5013,58150,53,51
2557,2821,9135,1824,26508,2762,5469,17766,57,29
20087,1819,6837,4051,80112,2024,3825,7762,61,29
2192,2697,4926,1227,5905,3639,3175,14119,69,30
43982,67418,37269,18595,562022,6367,19654,74491,77,48
21192,4758,6068,14956,55400,1058,2128,34207,61,57
8272,2520,4989,3599,64944,2415,4326,13060,60,50
12587,2073,10039,5684,610772,2948,13964,59931,53,47
5812,2035,6365,3316,108758,1739,10165,29941,50,34
11228,31692,9816,12092,121696,1748,9369,138935,43,26
11421,24048,7224,9694,168490,3154,4552,117501,26,20
7029,5312,9233,8975,828934,2755,2989,34917,30,21
4268,2105,5970,3589,25136,3118,3390,14585,38,24
2719,4747,6070,1817,77380,2688,6245,4519,64,34
33185,4516,32382,14322,827765,13732,18764,31304,90,40
37385,31411,38148,14741,1116871,12716,35813,115237,90,44
5919,16816,5002,19311,166599,2231,4534,23240,78,51
9121,3537,4330,3057,110217,1966,3430,54381,54,40
17639,3240,4026,7013,249935,2486,3382,35300,35,40
8451,5791,3556,8925,22074,2116,3477,14304,27,41
75901,33244,27064,44358,445378,6139,10521,27122,35,50
22366,44917,42460,44266,2088248,12020,9575,233112,44,51
2775,8055,4996,5691,148545,2405,2374,19980,53,48
19996,12658,9452,12930,154143,520,1282,133419,43,40
16211,6172,3723,3374,197885,1222,1660,32681,30,30
1189,841,786,1342,55375,131,385,8832,24,29
27781,6057,5033,17620,769090,5324,4720,44903,14,35
7378,24291,12676,13304,1347406,4053,38791,164044,16,34
7420,4804,6172,4372,140917,1382,8429,4508,35,37
7031,3651,2423,2940,225534,529,1489,16650,38,47
30906,15066,43355,17099,922398,7735,18080,180749,50,37
10241,5334,10817,3929,221749,3462,6603,22394,66,44
740,901,9694,6719,15877,948,5685,8337,77,17
2661,14497,6333,8073,52161,1572,3775,29086,80,16
4422,10834,5296,8111,205332,1227,4509,31186,87,13
20425,4286,11343,5609,142150,4763,6098,25443,69,37
106691,69569,53594,102189,1729641,13373,29616,461263,66,30
34679,40132,59775,52209,731189,3339,26016,257325,47,35
14667,3042,7195,8103,708397,982,4135,75255,43,27
20038,1324,13198,11704,149441,3935,6164,41832,41,21
20993,15346,5779,12810,824423,1946,4202,137402,29,20
74463,64717,142708,58283,1659458,16022,28595,364748,35,21
5130,1691,3569,4536,12869,5575,4263,12364,43,27
4193,25521,10532,12241,119528,1039,2501,52136,40,29
31576,16635,3433,9709,1021898,2071,5553,77904,37,38
4657,12214,4562,4655,17931,4576,2006,1118,37,57
5485,11363,3989,4045,4996,4114,3445,17381,30,64
44184,93105,46869,86714,2276031,8614,24333,447870,26,61
5697,8389,5655,5239,28988,3170,2020,16435,48,61
9824,4760,1603,3992,12772,1563,2271,11315,34,53
29732,12206,3197,9407,11192,2026,1359,9432,26,64
8432,12123,3557,5381,53993,975,2107,12336,27,80
12839,5645,10684,4888,511716,585,3646,52916,24,74
1870,1624,3604,7516,14286,473,1875,12290,40,54
8654,9221,5620,16915,521365,1655,5664,25274,47,37
3114,6597,6301,2605,16933,3401,6424,9801,60,29
7184,1884,7473,2301,12980,3544,3852,13244,69,34
9629,67980,25234,30878,387081,7292,15870,680602,48,29
1122,10856,2242,6032,15172,408,1341,10889,29,34
3881,784,5402,7575,25224,550,3217,10646,48,47
9877,11120,3338,3812,104770,1074,1353,104708,35,38
4599,4218,3873,4239,15885,2877,2599,4443,48,40
6066,11993,4265,8147,20735,1557,967,43967,38,30
60369,36843,23748,6890,659787,6667,29250,93990,27,44
1540,1228,6478,4341,7284,4707,5464,14301,56,38
13493,6308,47905,37128,364223,7694,11496,38872,64,21
13280,20825,22339,7711,191004,5598,15290,27398,83,27
2474,4252,6997,5915,22688,2890,5729,28366,87,13
1795,11590,3471,2726,70982,2436,4677,21256,74,29
2724,5631,29551,12247,491679,6201,35258,72023,64,23
7772,7656,7645,2553,74271,1152,13725,72600,51,11
11683,3184,6594,2687,6971,1905,3090,8455,54,27
20969,144894,27895,33447,1071008,5933,28101,371524,48,26
6646,5074,4443,3007,127260,160,1980,25382,35,40
1237,1275,4832,708,12094,323,1055,22650,43,30
14947,4356,19978,22287,313237,4569,28780,41862,44,17
4812,1986,5702,3587,90431,1068,5182,16664,63,14
30976,31278,38623,23908,507525,24468,32624,129005,69,14
9491,20845,13001,19071,770026,5205,3048,58833,66,29
13549,2498,4585,3404,12302,2444,5684,3853,63,48
10882,8555,6257,5043,13988,1500,2039,5917,63,63
13791,21382,4786,5325,15656,1070,1823,27755,51,74
27224,32512,9716,15600,1035969,2598,4906,89608,41,78
10437,6231,4745,4889,171957,518,2494,20099,37,67
11253,4346,2763,8011,100945,994,3861,19287,23,61
2356,934,1044,2515,76003,142,473,5781,27,50
12669,30681,21590,37709,446538,6136,31628,213198,30,38
8619,8604,4653,8859,83194,947,2626,46350,24,29
3721,4892,4448,5249,44895,2117,3599,37882,27,20
6295,13471,7003,7891,104814,637,3466,9873,35,27
11553,9625,9841,5129,25342,1176,2004,19681,47,43
12249,9982,7049,5177,127173,1305,2991,16335,56,53
4200,13694,13070,8238,218313,2077,7232,41715,64,56
10573,9701,9359,20807,884274,3224,10694,51232,57,44
7987,24578,31438,24003,50170,9251,15234,22089,70,24
17404,20072,15807,32911,364634,4703,19270,116543,77,21
60804,38146,13083,21293,840553,11795,11425,294529,43,34
5069,12101,5948,3677,322379,748,8369,5869,48,44
5024,5710,4027,5204,120300,2183,8943,3297,41,51
4315,1645,2325,6618,27366,1822,3539,9118,47,56
11385,24282,8688,12864,182888,1065,3474,114131,53,53
7495,5337,6488,12484,696050,1280,3700,32165,47,38
15096,17567,5562,9585,590220,3537,5800,98882,24,27
5224,5395,8834,2040,7230,2627,3543,4546,38,35
22600,18489,28542,13180,133423,8886,8711,6969,63,48
10496,333,8427,6351,8888,1710,1696,9509,77,54
7563,2652,6708,3938,3006,2203,3310,4559,100,63
8709,19757,3623,6692,25729,1859,1485,13672,83,69
2207,4966,7007,3890,28447,618,5165,6768,80,61
4893,2171,3774,1902,84825,2134,3768,28497,64,51
2930,5007,8508,4868,21500,2471,4388,16697,70,30
3265,575,1699,1313,84886,463,1737,9545,80,35
4514,2474,4422,2459,8066,624,4181,7578,78,40
1721,1142,12910,5810,105191,1074,2581,21947,78,23
3346,713,2066,1035,173613,133,796,16642,63,17
90297,3406,32665,35150,681120,4150,14539,65899,69,24
1868,4415,1384,1576,18187,222,655,15415,51,21
4783,3382,6750,3398,10791,2117,3617,6494,61,48
4492,6987,6202,4308,9706,902,4099,13608,84,40
