alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
11336,16658,2243,3660,94307,2812,2015,10028,0,0
4325,6735,11167,3830,55402,4429,6833,50029,0,0
1915,5299,2539,1335,34101,512,1056,14990,0,0
2843,6803,8996,3816,20487,1939,3073,20680,0,0
6042,4063,7252,8128,183613,995,3780,60503,30,30
2779,11385,7978,9778,99286,1801,12823,73380,21,26
3082,11706,4656,12880,48992,3172,2952,40986,10,34
18351,12943,10848,20034,509296,8528,25165,82523,11,69
8497,1958,4622,7711,71614,360,2900,4590,37,91
2448,10967,8844,5632,50928,1271,2274,5945,69,100
4483,5410,7328,4906,1130796,1457,1104,24825,70,84
11755,78564,23882,13892,59414,3582,4073,29637,84,100
13523,7122,3561,4643,19225,737,1399,10215,63,100
3184,28986,6025,2586,16011,1758,1825,4127,41,100
10892,26844,5916,4518,49208,1056,1083,66802,17,100
24999,28573,19279,24476,611618,2894,6111,42470,21,97
7625,18522,5615,8756,21853,3314,1966,41421,14,78
6025,5242,5681,9708,35997,1384,3273,11640,26,56
11667,6146,10148,6619,35626,629,1478,36054,48,53
1564,8489,4762,2102,7464,1912,972,17206,44,48
79621,79156,19763,54660,1223259,12820,22718,271955,40,48
2208,3406,3761,3823,5467,1416,1353,7318,43,47
3345,11553,9153,1656,40591,4685,4415,4102,61,57
6873,9697,3460,2601,228027,1376,10153,8437,57,70
17049,2497,8101,2963,6372,948,2482,13550,84,77
2143,2091,529,3108,169308,740,427,20312,53,69
10313,8399,4238,10332,26009,632,2554,9328,40,67
20636,13823,23152,12700,490335,2451,15167,72265,51,51
5430,5219,6275,6854,70629,1380,1322,7516,61,47
8417,6301,4643,3701,84436,1314,1420,12608,88,63
8959,6988,5146,2377,260432,2052,1744,66643,75,47
10757,3659,3829,1734,12306,1849,1237,11557,69,57
7745,9094,4144,8461,224886,1347,1913,41352,48,51
6629,7156,3172,3879,1904,741,5930,11406,43,51
5281,6321,2229,10146,10637,1348,1715,6363,53,64
7747,5548,2005,6472,4154,1545,1103,7988,47,63
4529,1015,5996,2495,40326,1039,1223,8898,69,61
5411,10256,4565,6764,102234,551,2334,38553,64,51
23300,21224,23346,40103,766163,3362,3841,77575,70,43
1087,4128,467,1618,15250,108,233,15470,51,34
2575,533,3693,4745,7286,282,2724,1759,53,35
2014,4913,3294,4624,22593,1793,3269,8221,63,38
8462,3131,4211,4354,14090,2634,2676,6193,63,48
13376,7164,7060,4235,3721,1285,3056,9392,91,63
15706,19884,14206,18943,456951,4109,11362,267251,57,51
7211,6570,2738,4248,6908,866,491,7176,51,61
5130,714,6600,3738,16767,356,2434,4474,63,53
13605,3802,2828,1706,17303,569,1768,6866,54,57
4979,9170,4107,2627,2808,477,1435,6717,75,84
29600,19719,16298,42990,158535,4898,12611,64220,77,74
8296,30244,13776,14129,446978,2684,11014,128657,35,53
33511,42412,12763,23259,904927,5375,10408,75570,23,48
4302,3548,5384,2906,12694,540,989,13789,29,48
