alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
13781,7381,6827,9973,544408,15128,5352,23539,0,0
6482,8477,3826,10818,24986,924,2945,54757,0,0
9762,4324,4669,3341,17659,930,2484,5344,0,0
20290,5896,10277,3443,36929,2099,2137,56975,0,0
399034,504537,581949,290384,617545,23430,68593,886060,53,43
103546,224039,20299,49264,814219,3090,7605,594931,53,43
1020,2392,1253,5683,100428,256,1446,3353,60,40
7371,4146,5235,10135,60901,2409,3767,6783,74,44
11734,9322,12747,9786,384516,2265,2751,20767,84,48
35163,14655,7608,24626,367474,2533,2997,225304,54,35
7133,30131,6232,12609,446133,1478,3759,210409,30,27
8612,4487,9696,5446,358859,3846,9871,9277,37,27
5786,8938,8464,5787,40185,1761,1578,22591,34,24
4555,541,1107,2806,3084,528,608,4053,51,40
3703,22948,9931,10550,54153,3484,2718,12177,63,78
12926,27324,23751,24336,242940,725,6925,23307,69,69
16539,55506,14303,9147,1165533,3760,4935,205572,60,47
15326,5540,6083,2360,35325,1113,3252,8943,56,51
11761,19864,4379,5266,62441,1507,4533,45029,44,61
1609,942,1284,3433,44391,841,1002,2179,41,56
8212,6765,5090,9188,36384,5515,3667,6240,61,66
1104,2876,1904,920,65989,211,886,3135,64,60
3888,2827,1416,2870,8083,335,672,6353,74,61
4512,455,8728,8619,48496,1360,2426,26261,74,47
8979,3423,2042,3510,90309,378,1280,41977,51,34
3041,4622,3773,3067,19001,1967,3719,11241,54,26
5193,19202,3984,3525,8230,1503,2533,11542,61,64
8204,12128,6246,3917,12368,2227,4180,17602,57,66
13292,11396,7977,28904,18793,4433,5687,19005,57,66
6254,9023,3765,5921,7046,2891,4224,14434,56,70
2801,5402,1855,7974,163281,533,2128,104904,37,38
13515,4745,2119,9356,686975,644,1747,103278,13,21
7588,1088,6241,6311,15454,1545,3083,12901,48,41
6995,10841,4652,2411,12702,1271,3809,5080,75,70
1188,379,2304,3613,4360,408,1662,9063,81,54
3810,10166,1704,6656,109004,508,2576,46171,57,43
38576,66155,12987,18211,433365,3025,4213,186713,37,47
12548,4792,2414,2274,7042,4111,6463,17621,24,38
1755,13959,4598,13647,18841,4091,1247,23127,17,54
6179,17045,3441,7971,55919,2319,2869,22976,27,66
28559,12497,7248,10547,22597,1606,2526,5468,41,84
15022,5443,8055,20013,375628,1433,2303,27628,53,74
15712,1908,3583,9518,15647,2856,3765,16462,50,80
4384,23496,5298,4253,9149,2046,6017,18791,56,80
10691,5589,3742,3206,51568,3396,4879,28679,48,83
18872,9787,10800,8800,348321,1065,1871,196967,41,63
12733,26315,7072,11030,1132782,1909,2365,166506,23,40
7283,31507,5062,20854,1547174,1865,1991,162945,7,21
531,663,1227,2304,2452,303,689,4300,16,7
5227,4064,2733,2926,19089,838,5326,5916,30,30
2907,13637,5895,24556,14808,2188,2906,15307,48,38
4912,4632,6758,5367,6911,3690,2830,26223,57,66
608,5790,2593,2096,98846,319,494,39342,44,44
10286,1499,18434,20162,54673,5053,2992,48763,51,30
8315,8104,12046,5736,17804,4197,2491,14314,69,21
10135,3372,3506,16249,5381,1767,4053,9421,66,29
3178,3687,6309,8821,22647,1269,1980,12955,87,37
1698,760,2181,2110,3729,900,391,3802,87,47
3972,2922,5831,11110,91792,2916,2113,25478,80,30
1592,2015,1392,6442,23101,682,672,9945,75,21
20907,9328,7734,6643,151380,1361,2017,26608,66,35
