alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
60064,60494,9483,23378,416438,21348,10805,167243,0,0
4287,26351,3076,5071,70837,1705,1277,10314,0,0
31156,422701,60451,104365,629330,30312,14285,717786,0,0
44535,111421,81808,84952,547425,33386,37166,266696,0,0
22560,9340,11967,13515,592697,15575,12272,52591,0,0
34,41,14,27,124,2,3,64,0,0
3833,5168,820,1942,61903,786,339,27138,0,0
12987,7316,4828,5167,1387616,1115,1634,40579,44,35
8845,42460,9522,6412,178029,1263,2910,385368,37,16
15840,29029,5629,16563,526468,9522,1638,40128,38,17
8388,9943,11062,13820,246543,4381,7714,81168,47,4
4638,24010,6689,5267,267465,932,4584,71085,44,3
1878,4261,1399,2334,90901,837,712,43943,47,3
4272,4401,790,2007,915231,202,381,23380,37,1
18419,37418,5772,17441,23733,3120,2371,39067,30,14
6540,11839,2859,2321,12694,519,342,10711,35,29
799,14410,3782,10290,71504,873,2434,17914,48,47
1459,1289,1010,1426,78523,98,125,17667,56,34
3209,19887,3210,3964,23270,2636,1057,15641,63,35
7299,8154,7549,3371,38351,1510,2937,17263,70,38
579237,147478,442061,320447,2028626,18541,63815,836618,70,38
1263,4621,1111,1870,180839,198,233,6165,77,57
5330,6442,2659,13692,11860,308,1035,41948,66,38
1284,5036,9607,7843,23677,1408,1685,12994,84,17
3179,4082,2661,3319,14273,359,962,3989,84,21
10730,23771,7254,8247,498797,4612,3520,44763,84,20
5516,10121,2323,8902,4027,937,1304,43376,83,24
8250,5236,1452,2108,191865,444,537,49862,51,27
4163,4909,1048,970,122974,722,391,32379,29,13
5283,18235,3312,3717,1175762,469,1243,73249,20,4
11797,19151,3838,9412,11703,1023,2991,16902,26,21
7739,6256,5691,7693,17586,1165,2067,23543,44,24
9503,3385,2770,7688,34283,1529,2419,10731,70,29
4218,7448,11785,4534,5024,1720,1516,10526,84,17
14233,16850,6992,8488,8823,1598,2110,12123,90,43
12095,10002,4389,5131,67314,1475,1987,27664,87,41
3756,15206,5166,2316,157708,353,574,42545,84,41
1802,1824,696,975,19399,289,233,11985,60,37
9145,42523,3822,12651,760584,1616,3267,55625,44,29
12884,10270,5728,6930,36698,951,2494,17087,50,35
2584,4131,2217,8887,2125,814,1696,4530,57,35
4606,6125,1763,1332,351022,141,276,40150,56,35
19726,11277,20078,9248,290918,1378,4813,97373,70,21
5545,4821,1828,27526,103584,2114,2785,63359,54,1
8721,3016,5667,3499,10676,2295,3096,14402,54,1
382,1162,815,1205,166094,80,140,9030,63,1
1344,4704,1471,2492,2971,501,631,10826,57,1
3209,1686,8739,21858,3727,1583,1004,8999,87,3
5001,4692,5802,4514,17977,1553,1258,9173,88,3
3614,7843,1279,1854,290537,144,184,10983,80,21
23791,27811,12949,35002,622750,2043,4528,222982,54,24
14811,19442,6311,5699,27076,606,1325,16773,47,37
10114,6684,3654,2553,68182,811,1026,37335,48,24
7371,2792,6016,3790,12328,1341,1911,12933,63,34
15984,1702,8879,7464,6833,1261,2195,23133,80,44
2336,3038,1979,2092,9133,994,945,11615,78,27
5799,8163,5538,7490,25959,777,3963,9718,90,34
5528,9463,4394,6964,10278,555,1341,8344,88,41
477,5356,390,1077,129321,81,196,11928,64,40
37351,36987,17626,20349,15586,3880,3485,53642,66,51
1522,10160,930,523,293546,427,216,17499,48,51
682,2584,722,1531,4506,970,1309,6544,38,41
1125,25528,712,8172,63024,418,835,65730,27,40
5414,4682,4161,7925,12271,2283,1344,12520,43,11
23619,32466,8965,29907,12490,967,796,15090,69,24
3382,1871,2238,2106,131752,277,288,15427,70,34
6456,10423,1204,3626,52002,414,295,69668,47,26
19498,54376,15570,23600,3372847,6781,3363,268969,38,10
38692,7097,3099,6137,11890,722,2030,6691,35,35
3567,15106,1812,3712,107688,589,819,21434,26,48
18262,48281,28506,22141,2603220,2150,5852,281290,43,47
1048,1533,567,614,192388,81,68,13991,40,41
6063,18224,3836,9877,6314,790,1378,16635,43,24
1694,3199,1539,4423,7490,139,390,1664,60,24
24265,39792,17535,15183,261728,1699,3147,315531,54,23
3498,4641,1627,2123,100664,354,971,71940,50,17
9402,23933,5245,4295,200647,5383,4697,103424,41,7
11706,22705,4636,4795,147810,1680,2377,78912,24,1
2205,2812,1632,2075,4491,749,704,4002,37,16
5080,1544,7963,11949,7227,4194,5017,15348,64,23
10526,8611,3192,4168,8531,603,2224,2284,78,44
11264,13052,1603,1909,228722,552,840,41703,70,47
10235,9063,3035,6467,6974,1526,4954,11533,40,60
8980,17004,11270,8858,13028,1731,3377,25700,43,44
4682,3144,4273,2918,13991,954,5135,9338,66,43
2607,1649,5293,5800,7384,977,1376,4203,96,41
10738,5535,4143,4639,6073,1605,2974,7293,100,29
7208,40624,8004,2646,331705,1135,3821,315299,83,16
1138,1949,688,1073,15991,214,1005,2475,67,26
5905,5992,2482,7748,19032,1311,2143,14858,56,38
3138,12178,5296,4760,11425,1346,4449,11923,56,34
13587,14831,5065,7126,23755,2670,5391,12281,74,57
3064,11314,3996,4397,28394,4043,2252,28361,70,51
5701,5940,7442,9914,5884,653,2484,7230,84,51
8094,1840,3800,10474,78782,893,1755,49026,75,34
18701,30191,4179,9523,1437881,1116,1017,81758,61,23
3247,1093,2014,2136,19439,638,575,2517,74,27
3364,757,2953,7621,734879,701,2759,13992,64,17
39392,20858,3841,6559,7177,2893,1451,16436,63,50
1175,2668,828,823,98876,90,245,24041,61,37
21929,1091,3553,11759,11475,1949,840,9068,51,41
2834,2970,3273,1565,259834,425,954,12608,51,48
1380,14106,886,2975,1648,265,423,3988,50,47
12975,16194,9079,14121,2151,3143,1898,49485,63,57
5913,7838,8237,25369,15746,1153,3212,22405,70,41
6317,16313,6920,4684,110504,1835,2961,36811,67,47
942,1741,1709,2614,27692,688,858,18353,74,13
11033,4082,1315,2689,88677,2123,859,24974,61,14
3015,2660,2165,4624,35892,416,408,7288,57,21
4819,17842,5046,17989,1475258,1076,584,193517,43,1
2651,1472,1536,2609,31641,729,1125,2403,53,24
5925,7095,3888,5335,18843,1059,1175,28657,63,17
2442,1732,1582,958,76095,253,1046,26637,57,35
5534,3878,3754,12159,7717,3484,2919,7705,56,27
23058,4938,6253,8955,7920,2824,1796,14190,61,40
20943,4507,4619,14766,1653,1829,2970,18169,69,35
19699,9256,2380,4976,7470,1411,1230,6968,74,66
5428,7445,2261,3597,338210,858,1771,55822,54,56
4401,18558,6633,7356,24339,2362,1947,44045,50,47
8560,9596,10542,7924,8595,1164,1895,23081,56,41
1439,5790,7019,3370,33598,613,823,79648,57,4
7508,3753,5120,8687,11862,727,2144,5603,80,17
7367,7952,11775,6532,6379,2814,5153,10840,96,23
6730,6247,3631,3507,747120,1302,2648,34247,84,20
3699,4400,4779,4146,14351,815,1879,11142,96,38
8253,7150,5702,4628,4756,1039,1381,5196,94,44
7770,5008,1792,12149,3602,431,684,7648,80,47
5480,3217,3115,8312,3951,1472,1806,14965,84,48
4280,3934,2776,3425,330492,261,447,32401,74,41
11407,7849,11216,17599,5609,5445,3504,8090,77,34
8983,8580,4029,4398,139840,354,583,13406,78,38
7181,17480,1999,5564,17827,1261,2573,8229,69,54
20738,8563,2962,18058,34903,4734,3521,49141,64,61
2642,6897,4167,8187,11364,395,1116,37654,51,50
3255,6081,7368,11169,3109,2921,4320,5608,64,41
4893,5577,1075,1259,13879,473,536,2030,74,61
47122,12367,6510,11979,104053,1095,4152,44800,67,80
2978,5710,932,1636,3450,759,911,17482,43,81
29201,14660,2634,9821,20569,1458,3747,14800,41,81
11747,11903,5443,8235,433239,1358,1822,94265,35,53
8326,16412,4113,4817,692129,307,1799,274103,20,26
