alphaHigh,alphaLow,betaHigh,betaLow,delta,gammaHigh,gammaLow,theta,attention,meditation
28727,24138,11584,18317,232748,10497,5026,136466,0,0
28242,2378,7502,14390,15501,667,6360,10754,0,0
9437,1536,3482,5186,5836,1353,1451,30369,0,0
1343,3990,2348,3382,8940,833,1555,5666,0,0
100576,16954,137010,158614,1622724,2474,16209,249923,51,30
27552,42198,30697,39745,92452,3346,4504,109808,54,30
1918,1546,676,2365,301025,165,453,12309,37,24
743,2027,450,1641,1307,599,568,2590,29,30
13667,2765,5350,18859,859117,5008,4071,52240,8,34
15574,2051,5589,10828,3974,3753,1794,3213,13,47
39933,17203,7732,10804,864661,1047,1379,17605,24,75
408,1126,746,1939,15623,381,464,8577,23,53
6994,21076,5338,3918,158559,1498,2648,29725,24,69
3355,11029,5625,3015,80794,470,1772,46902,11,51
6891,4947,2070,2590,239509,330,1911,52435,1,23
13990,10069,7306,8625,13461,814,9435,22515,10,44
2793,9993,8840,9312,15411,2741,3617,16555,26,35
11534,3522,9324,2520,18112,2759,2257,27570,41,40
1329,1010,1462,3448,1991,196,831,6552,61,40
2724,3744,7273,6831,10922,1864,4024,4956,63,35
9338,4357,8387,12595,2508,1278,3469,9135,75,47
54445,30089,20663,53533,88644,3274,6261,80733,74,43
2895,2414,5833,4794,3508,2820,1060,20613,54,34
2692,5505,8740,9171,5991,4171,2120,21612,51,23
3654,4136,8725,3868,6655,1369,3027,8642,67,21
24745,34422,8527,8276,1539295,927,1176,155238,44,34
492,5829,487,1363,141041,136,100,20363,16,38
11151,13726,5387,10450,5783,1709,1410,5654,27,54
5047,1764,4600,7923,4768,1753,2343,7653,23,53
17720,15766,7414,5044,1098488,634,1285,132315,29,48
2967,6114,2236,1403,10268,559,1374,6093,51,64
13670,10756,5275,5702,2511,1309,3948,18920,48,57
2797,6928,3068,7383,2826,1623,1682,8164,41,64
3796,6557,3332,4628,1520,3245,3436,10612,56,77
116,1065,410,483,126114,149,315,5041,47,53
785,1107,4877,1378,2731,413,1116,9908,60,24
21473,4824,4922,11892,14357,2871,5155,34287,51,24
810,488,2206,946,1404,438,819,1082,69,16
10645,13376,2178,6493,5128,448,772,6258,69,70
9595,28033,6561,6954,349647,1969,3025,39109,69,78
3922,1537,5073,11683,8575,1293,2685,15003,56,67
2514,9482,8712,6657,15507,1717,5585,29901,51,54
6061,24199,5671,12269,55593,4099,3935,22440,56,44
10026,9662,3110,4638,1081267,721,1279,70181,48,27
1599,1629,929,1543,3918,403,529,2411,43,48
8424,7179,3540,3363,5244,947,2301,12067,37,66
5691,5819,3771,6170,3346,3609,1927,3610,47,67
1096,7251,5064,9955,2518,1480,962,4764,70,78
17599,28894,12179,6441,285710,1937,3497,380984,51,41
6549,18387,6244,17405,11759,2895,6329,16933,47,37
14263,3031,3708,6056,7451,1199,5976,4179,38,53
14469,18798,9741,7587,7676,1360,3544,19856,41,64
8227,7025,7765,11402,21980,2715,2806,12688,67,84
7397,5867,9606,4863,5235,1435,6551,15070,78,78
6946,7168,8284,8639,440788,942,1241,44044,77,53
3695,17621,2312,4556,859625,581,911,45978,56,41
8369,10171,4133,4557,9308,845,3507,6996,40,51
17181,15799,5836,5797,5023,1765,3876,11381,40,80
15325,3827,4156,5225,8087,1471,1104,3135,60,97
6931,1195,10351,8973,25864,5055,3681,16271,74,93
7913,3910,3527,11789,5538,3204,3675,30877,64,69
11373,27669,2689,5002,81426,580,638,76890,44,53
9555,3367,11255,6796,9774,1137,4825,9123,40,54
3641,6102,6588,8404,7271,1785,1760,10335,54,61
7546,14391,1778,11962,21506,304,485,54441,54,54
689,2807,972,1004,211298,189,411,8992,50,40
1645,2237,1230,1585,4062,338,486,1866,41,48
33202,1951,4391,6969,5657,1401,2583,1925,29,70
15266,14670,9033,11928,11173,1742,4613,27524,50,78
10670,5145,11971,2813,89667,1315,2796,221816,44,61
17547,27159,12120,27589,878771,4864,6426,24187,41,56
1949,8395,4851,10191,5825,2456,1491,8704,54,35
8188,4048,4530,7601,4244,1671,2291,5047,74,61
5548,1165,10234,8401,2376,3133,1569,14243,84,47
11887,11826,5683,4500,3626,2519,3382,17470,78,54
11226,4582,8986,8136,5982,1335,1558,11729,81,53
5830,5838,967,1403,6099,234,590,8856,56,74
2383,4101,5668,7933,4159,1924,1982,11840,57,70
7871,4777,3350,6493,9011,1567,1333,8736,50,74
3152,1790,6951,11740,16691,1234,1055,10302,75,51
7019,3387,2640,5658,7386,1000,2309,6060,78,41
7438,8014,3594,10803,6827,911,2729,32007,63,47
6252,7644,9796,5760,8986,2539,1149,22917,67,40
6739,12874,7008,29524,8797,990,6030,4097,63,53
1574,3893,2887,1091,613,392,335,2014,74,54
3017,7059,13135,4658,2887,1891,2708,13964,94,53
11789,9111,6908,6194,3780,772,1024,12712,91,63
9782,4941,4348,4991,7214,1575,2007,17326,83,64
8698,32350,9302,8734,244665,1128,910,59131,67,57
55390,69035,5519,38859,837983,2139,7077,444597,30,57
12390,9392,4315,7661,8223,2740,3152,7241,30,61
6607,6274,2963,4927,13436,1646,2710,8775,34,63
6242,7338,4224,3316,20330,2379,5472,11479,43,66
11460,34040,11165,11016,52301,2067,5324,31714,67,80
4658,2795,923,2009,316915,261,384,29293,67,80
14832,23305,7938,4847,14212,2886,1962,21311,66,80
2570,984,4869,5218,25915,1381,4216,10647,75,63
6732,1668,4334,5653,2087,1850,3517,6584,80,57
7365,3213,10854,5110,14539,4171,2340,10510,91,50
14048,2360,7592,13494,10443,3862,2853,11210,97,43
7776,9273,4409,15372,1091,1296,3398,13890,90,54
7198,8289,5897,7211,1191,1416,2013,7365,88,61
8750,17854,10677,3473,202363,3910,4814,254018,64,43
8248,2154,1255,5015,8278,379,858,2360,54,53
12399,308,5596,7976,15485,2918,2382,25107,54,48
4368,32165,4055,6613,220804,3908,5280,124135,34,34
5150,9306,3912,5040,5465,1469,859,34636,41,50
7828,21213,7380,9244,13507,1185,3699,50250,41,38
26254,8128,4554,10574,16543,1946,1248,14673,50,63
39103,29411,13551,17934,63064,4305,8819,44704,53,75
11912,5419,6212,10996,1125957,761,1010,124199,47,60
1773,4111,1070,3907,165179,306,499,23166,38,47
13357,415,3298,5468,24152,855,3809,50173,30,27
10492,9243,7425,7149,1561318,751,2563,86952,26,21
14981,905,7577,5228,5638,319,1951,12236,48,50
19737,4735,4340,7757,8140,1556,3050,21398,54,56
11053,7386,12201,8736,38820,3463,6909,36912,64,63
10948,1391,11825,5581,13442,1186,1758,10220,83,56
24388,22241,5883,30288,52306,3423,3872,28184,70,56
27570,36231,6396,18108,284035,1397,1821,161723,61,50
13238,16610,7904,7110,4387,2907,3104,16249,60,63
9213,24002,2767,8700,68788,762,1111,108880,27,57
20714,19539,12482,16355,921657,2516,6472,259696,23,38
8704,13241,6144,13076,3297,1961,4791,50386,34,37
8719,19003,8506,5410,277632,422,785,146991,21,17
522,4844,1218,4771,9441,671,1005,4552,40,23
7882,3699,4456,4576,7593,1029,2864,18329,51,37
8943,2711,3841,6423,3054,1183,1605,18240,54,41
10646,4669,5064,2685,6839,1916,3468,19172,64,53
2756,5769,10680,2545,3095,4478,3541,7682,80,51
5287,2447,6188,4839,8507,2035,3313,20388,83,47
18527,1966,9913,7858,5579,901,2221,8811,91,53
6694,12305,4091,6315,86698,1453,1357,34916,87,51
9042,8884,1657,4399,738983,1686,2674,108946,50,38
5946,3368,3365,4050,17762,3452,3671,8505,38,48
4213,5066,3314,10994,4156,3131,3851,31271,38,40
3300,1927,9318,4551,15939,1379,3969,18023,70,41
10123,18690,3186,5710,2249,1558,4917,18613,66,44
6938,1859,7349,9166,5305,1232,2629,13268,74,37
1474,10741,1520,2669,223014,438,198,9045,70,53
2456,7955,4310,3040,93826,691,1166,51410,54,54
5719,3215,8457,3713,8898,1575,4294,6393,75,44
2497,12630,9682,3813,2461,3919,4164,18232,70,50
1196,4373,1309,2522,107130,476,1170,52878,61,23
1678,8185,2427,759,112111,311,1443,93410,51,17
7428,12334,6209,15548,1149003,1578,3430,227731,23,1
1768,3646,383,391,379586,231,284,14748,1,1
10368,45572,15723,14382,253627,3713,13161,49839,16,14
7394,11246,2016,2640,608764,2052,1342,23306,21,38
1854,1774,1938,5377,75206,180,609,34599,29,40
1486,5750,5418,4988,87053,671,1646,16315,53,38
22670,57778,6746,24793,2858975,2743,3065,131798,38,34
5502,1590,2052,7268,103502,1243,3114,43216,37,14
7816,8061,4430,10090,23491,1997,2414,83815,35,21
6425,2175,662,889,16795,124,314,3509,23,43
4930,6096,2608,10965,1961,707,2655,10089,35,43
8824,2215,12680,9041,9739,1629,1630,4884,61,54
3090,13861,5394,6819,119002,554,824,40087,67,64
1227,1267,874,1299,10665,285,479,5948,74,43
8234,5909,6862,14465,2302,1254,1117,16758,78,41
31967,1989,6899,5008,20995,4524,1096,14623,64,56
4469,6393,2229,6330,26780,917,1197,30537,57,56
11161,22127,6628,25054,471968,753,1156,51909,50,57
2213,8773,1079,3336,83053,268,679,9605,41,64
5165,15884,6360,6921,8967,1422,1878,18482,43,54
6020,20365,10941,5748,16113,2397,3391,26720,56,64
11990,9991,4318,17667,14526,1291,2636,9201,61,67
14899,7539,5065,11076,6540,4074,2630,3882,74,74
9077,827,7104,21207,2900,2640,5155,5671,81,63
5597,1458,7869,12523,14322,1257,1204,26899,83,48
13949,12132,9129,11073,775,1613,3082,7291,88,51
4355,6584,1070,5873,342134,1077,642,60546,64,27
4924,1724,1529,2704,3929,947,1205,9973,50,35
4775,2437,7810,7970,6138,842,1924,17216,54,38
4136,6555,7977,8626,28045,2022,5023,39319,50,20
2876,12584,3741,6360,225076,760,755,55672,61,24
5313,22107,3140,3217,76594,460,1319,56063,53,24
5925,5200,2896,1944,22058,693,1384,3587,48,44
9731,3667,2524,5470,5782,2523,1333,15582,41,57
4004,24903,3568,8519,135330,4607,5157,49689,40,64
8578,7743,5055,5699,4723,3311,5046,6191,57,75
3714,31058,10569,3081,23251,2286,4004,53733,53,64
8119,6836,14403,22407,348527,3706,6276,144174,54,41
8177,3196,5114,4838,4875,2522,4610,12050,69,43
6426,4519,4899,5600,6163,3281,6043,15530,67,35
544,267,534,2054,43012,84,158,6550,63,14
10117,5266,1818,4084,187581,481,883,51100,51,29
5462,12037,6962,2096,2970,1481,4162,9925,53,37
3024,5624,2867,6247,35100,1222,2749,19338,47,34
11510,14179,4952,11590,75615,2867,2636,54883,44,48
27465,35142,14065,16365,1871602,1679,4938,376365,47,41
9511,1185,6641,12803,5492,2214,3941,18594,44,27
2446,2717,13661,2790,4654,1911,1795,16044,61,20
6513,24164,1592,4123,118866,746,1347,123132,44,14
24391,18918,8345,14284,18636,1909,6147,42246,56,29
9322,4911,11460,10521,14449,4655,3724,33400,57,29
5793,24840,1526,6299,193642,431,1424,103683,20,35
19763,1769,4234,5067,3654,806,2193,13805,43,51
4746,6174,7717,2197,4430,1334,5000,12367,53,48
